question,answer
а с пушкин оралда қай поэманы қағазға түсірді , қозы көрпеш және баян сұлу 
а с пушкиннің орал жерінде танысқан поэмасы , қозы көрпеш және баян сұлу 
а с пушкиннің орынбор жерінде болғанда қазақтардың шаруалар соғысына қатысқаны туралы жазған еңбегі , пугачев бүлігінің тарихы 
а с пушкиннің орынборда қазақстанда болған жыл ,1833 жыл
а с пушкинніңм ю лермонтовтыңф шиллердің шығармаларын пролетарлық әнұран интернационалды қазақ тіліне аударған ,ж аймауытов
а яссауи бұқара қаласында діни білім алуына көмектескен ғұлама ,юсуф хамадани
а яссауи кесенесі орналасқан қала ,түркістан 
а яссауидің диуан и хикмет жинағы ,адалдыққаимандылыққаданалыққа шақырады
абай атындағы қазақ мемлекеттік музыкалық опера және балет театры қашан ашылды ,1934 ж 
абай есімі берілген жоғары оқу орны ,қазақ пединституты 
абай есімі берілген жоғары оқу орны ,қазақтың тұңғыш пединституты 
абай жолы романы үшін мемлекеттік сыйлық алған көрнекті қазақ жазушысы ,м әуезов 
абай жолы эпопеясы үшін лениндік сыйлық алған көрнекті қазақ жазушысы ,м әуезов 
абай құнанбаев дүниеге келген өңір ,шыңғыстау өңірі
абай құнанбаев өмір сүрген жылдар,1845 1904 жж 
абай құнанбаевтың шын есімі,ибрагим
абай құнанбайұлымен жақын таныс болған поляк азаттық қозғалысының өкілі ,с гросс 
абай құнанбайұлымен оның туыстарымен жақын таныс болған поляк азаттық қозғалысының өкілдері ,с гросса янушкевич
абай құнанбайұлының алғашқы шығармалар жинағы ресми баспадан шықты ,1909 жылы 
абай құнанбайұлының қазақ әдебиетінде алатын орны ,жазба әдебиетінің негізін салушы
абай құнанбайұлының орыстың ақыны а с пушкиннен аударған шығармасы , евгений онегин 
абай құнанбайұлының шығармалар жинағының ресми баспадан шықты ,1909 жылы 
абай құнанбайұлының шын есімін атаңыз ,ибраһим 
абай семейде қандай оқу орнында оқыды ,медреседе 
абай семейдегі медресесінде оқыды ,ахмет риза
абай шәкірттерінің ішінен ең мол мұра қалдырған ,шәкәрім
абайдың 1900 жылы жарық көрген орта жүз қазақ ордасының руларының шығу тарихы туралы жазбалар деген еңбегінің мазмұны ,семей облысы қазақтарының рулық құрамы туралы
абайдың 1900 жылы статистикалық комитеттің басылымында жарияланған орта жүз қазақ ордасының руларының шығу тарихы туралы жазбалар еңбегінде көтерген мәселе ,семей облысы қазақтарының рулық құрамын анықтау 
абайдың аса дарынды шәкірті ,ш құдайбердіұлы
абайдың әкесі құнанбай старшын болған ру ,тобықты
абайдың жинағы ресми түрде баспадан ,1909 ж шықты 
абайдың нақыл сөздері берілген шығармасы , ғақлиялар 
абайдың оқуын аяқтатпай еліне әкесі құнанбайдың алып кету себебі ,ел билеу ісіне тарту үшін 
абайдың сана сезімін кеңейтуге орыстың қай интеллигент өкілі әсер етті ,достоевский 
абайдың семейде оқыған оқу орны ,ахмет риза медресесі
абайдың талантты шәкірті ,шәкәрім құдайбердіұлы абай семейдегі ахмет риза медресесінде оқыды
абайдың туған жері ,шыңғыс тауы 
абайдың ұлы әбдірахман ,артиллерия училишесін бітірді
абайдың ұлы әбдірахман бітірген оқу орны ,артиллерия училищесі
абайдың ұлы әбдірахман бітірді ,петербургтегі михайлов артеллеррия училишесін
абайдың ұлы әбдірахманның петербургте бітірген оқу орны ,артиллерия училищесі 
абайдың шәкірттерінің ішінде ең мол мұра қалдырған ,ш құдайбердиев
абайдың шығармалары ресми түрде баспадан шыққан жыл ,1909 ж 
абақтыда 12 серігімен азапталып өлтірілген 1916 жылғы ұлт азаттық көтеріліс басшыларының бірі ,ж мәмбетов
абдаллах өлген соң тәуекел хан мәуараннахрға басып кірген жыл ,1598 ж 
абдаллах хан самарқан өлкесіндегі африкент уәлаятын сыйға тартқан хан ,тәуекел 
абдаллах хан самарқан өлкесіндегі африкент уәлаятын сыйға тартты ,тәуекел ханға
абдаллах ханмен ташкент маңын билеуші баба сұлтан арасында билік үшін талас басталды ,1579 жылы
абдаллах ханның қазақ ханы тәуекелге сыйлыққа жер беруінің себебі ,баба сұлтанға қарсы күресте қолдау білдіргені үшін 
абдаллах ханның қазақ ханына сыйға берген жері ,түркістан аймағы 
абдаллах ханның хақназарға сыйға берген жері ,түркістан аймағындағы бірнеше қала 
абыз асатаяғының бөліктері табылған ескерткіш ,аралтөбе
абыздар ,ежелгі салт дәстүрлер мен әдет ғұрыптардың бұлжымай орындалуын қадағалады
абыздардың танымалы белгісі ,тостаған мен айырықша белгілері
абылай 1771 жылы хан болып сайланды абылай билік құрған жылдар ,1771 1881 
абылай жоңғар тұтқынына түсті ,1741 жыл
абылай жоңғар шапқыншылығына қарсы күреске қатыса бастады ,15 жасында
абылай жоңғарларға қарсы күреске белсене ат салысты ,15 жасында 
абылай қолдаған шаруашылық ,жер шаруашылығы
абылай өзара қарым қатынасында тату тәтті көршілік саясат ұстануға арқа сүйеуге тырысқан ел ,ресей
абылай ресейге ант берген жылдар ,1740 1742 ж ж
абылай сұлтанды үш жыл тұтқында ұстады ,жоңғар хандығы
абылай тұсында хан билігіне енгізілген өзгеріс ,хан билігі шексіз болды
абылай хан 1761ж ағаш үй тұрғызу үшін бірнеше ұста және 200 300 пұт астық жіберуді сұрап хат жіберді ,іі екатерина
абылай хан болып сайланды ,1771 жылы 
абылай хан дамытуды қолдаған шаруашылық саласы ,егіншілік
абылай хан дүние салды ,1781 жылы 
абылай хан дүниеге келген жыл ,1711 жылы 
абылай хан егін шаруашылығын дамытуды қолдаған өңір ,ертіс бойы
абылай хан ертіс пен есіл бойында көкшетау тарбағатай өңірлерінде шаруашылықтың осы саласын дамытуды қолдады ,егін шаруашылығын
абылай хан жер өңдеу шаруашылығын дамытқан өңір ,ертіс бойы
абылай хан жерленген қала ,түркістан 
абылай хан жерленді ,түркістанда
абылай хан жоңғарлар тұтқынына түсті ,1741 жылы
абылай хан жоңғарлар тұтқынына түсті ,1741 жылы
абылай хан кезінде шаруашылықтың қандай түрі жедел дамыды ,егін шаруашылығы 
абылай хан кезіндегі феодалдық мемлекетті қалпына келтіруді мақсат еткен ұлт азаттық қозғалыстың жетекшісі ,кенесары қасымұлы 
абылай хан қай жылдары хандық құрды ,1771 1781 жж 
абылай хан қатты көңіл бөлген шаруашылық саласы ,егін шаруашылығы 
абылай хан құқығын шектеген кеңес ,билер кеңесі
абылай хан операсының авторы,е рахмадиев 
абылай хан орта азия елдеріне шабуыл жасады ,xvііі ғ 70 жылдары
абылай хан тұсында қытаймен ара қашықтықтағы иеліктерді сақтап қалу мүмкіндігі ,дипломатиялық жолмен 
xvііі ғ 70 жылдары қазақ әскерлері тарапынан кімдерге күйрете сокқы берілді ,ташкент күшбегіне 
абылай ханға ақылшы кеңесші болған жырау ,бұқар
абылай ханға жақын болған оны жырға қосқан жыраулар ,тәтіқара үмбетей
абылай ханға ресей мен қытайға бағынбаған тәуелсіз билеуші деп баға берген ғалым ,а левшин
абылай ханнан кейін орта жүздің ханы кім болды ,уәли 
абылай ханның 1761 жылы ағаштан үй тұрғызу үшін бірнеше ұста және 200 300 пұт астық жіберуді сұрап хат жазды ,іі екатеринаға 
абылай ханның азан шақырған есімі ,әбілмансұр 
абылай ханның азан шақырып қойған есімі ,әбілмансұр 
абылай ханның атасы билік құрған қала ,түркістан
абылай ханның атасының есімі ,абылай 
абылай ханның атынан жетісуда билік жүргізген сұлтан ,сүйік
абылай ханның бала кезіндегі лақап аты , сабалақ 
абылай ханның қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер ,тарбағатай 
абылай ханның қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер ,алтай сеңгірі 
абылай ханның қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер ,зайсан көлінің шығысы
абылай ханның өмір сүрген жылдары ,1711 1781ж ж
абылай ханның шын есімі ,әбілмансұр 
абылай ханның ішкі және сыртқы саясатына әсер еткен дарынды адам ,бұқар жырау
абылай ханның ішкі және сыртқы саясатына мейлінше әсер еткен дарынды ақын жырау ,бұқар жырау 
абылайға жыр арнаған ,бұхар жырау 
абылайға өзінің жырларын арнаған атақты жырау ,бұқар жырау
абылайдан пана сұраған жоңғар билеушісі ,әмірсана
абылайдың атасы қанішер абылай билік құрған қала ,түркістан
абылайдың атасы билеуші болған қала ,түркістан
абылайдың атасы билік құрған қала ,түркістан
абылайдың бас мирасқоры ,уәли
абылайдың жоңғар тұтқынында болған жыл ,1741
абылайдың кеңесшісі болған атақты ақын ,бұхар жырау 
абылайдың керемет қасиеттерін жырлапорта жүздегі оқиғаларға белсене қатысқан шығармаларына батырлар ерлігін арқау еткен xvііі ғасырдың іі жартысындағы танымал ақын ,тәтіқара
абылайдың қолдауына ие болып орта жүзді паналаған жоңғар тағынан дәмелілердің бірі ,әмірсана
абылайдың қыстақтары орналасты ,ертіс өңірінде
абылайдың қытай билігін мойындаған жылдар ,1757 1760 жылдары
абылайдың қытай билігін мойындаған жылы ,1757 ж 
абылайдың мирасқоры ,уәли сұлтан 
абылайдың мұрагері кім болды ,уәли 
абылайдың өте бір ұнатқан ақыны ,тәтіқара 
абылайдың халық алдында беделінің өсуіне ықпал етті ,жоңғарлармен күресте басшылық жасауы
абыралы ауданында барлық шаруашылықтың бірден ,70 ы ұжымдастырылды
аварларды букрат тауы етегінде екінші рет жеңген түрік қағаны ,қара еске
аварларды талқандаған түрік қағандары ,бумын мұқан
авторларының бірі е бекмаханов болған қазақ сср тарихы атты күрделі еңбек қашан жарық көрді ,1943 ж 
авторы е бекмаханов болған қазақ кср тарихы жарык көрді ,1943 ж
аға сұлтандар сайланды ,3 жылға
аға сұлтандарды тек сұлтандар ғана сайлап оларға ресейлік майор шені 10 жылдан кейін берілді ,дворяндық атақ
ағам да апам да жоқ сондықтан менің өзімді майданға жіберуді өтінемін деген сөздер кімдікі ,м мәметова 
ағарту ісін насихаттаған журнал , айқап 
ағаш бұтағын бір біріне үйкеп немесе шақпақ тасты ұрып ұшқын шығарып от алу ,орта палеолит
ағылшын кәсіпкері лесли урквартқа риддер мен екібастұзды концессияға беру туралы келісім шарт жасалды в и лениннің нұсқауымен ол қаралды , қолдау таппады 
адай елі 2 жылдың ішінде төлеуге тиіс еді ,160 мың сом салық
адай түрмеден қашқан күйлерінің авторы ,құрманғазы сағырбайұлы
адайлықтар соғыс шығыны ретінде , 90000 қой өткізуге міндеттенді 
адам алғашқы құралды жасады ,тастан 
адам балық аулау құралдары мен қайықты ойлап тапқан дәуір ,мезолит 
адам беловский семей облысында шұғылданды ,өскемен уезінің геологиялық картасын жасаумен
адам бойындағы ізгі қасиеттердің көмескіленуі мәселесін көтерген м шахановтың кітабы , өркениеттің адасуы 
адам тарихы 4 археологиялық дәуірге бөлінеді кандай дәуір бұл кезеңге кірмейді ,таулы және далалы кеңістіктерді игеру дәуірі 
адам шақпақ тасты үйкеу арқылы от жағу тәсілін ,орта палеолит меңгерді
адамдар алғаш тасты жылтыратып тегістеу әдісін үйренді ,неолитте
адамдар керамика жасауды үйренді ,неолитте 
адамдар мал шаруашылығымен және егіншілікпен айналыса бастады ,неолиттен 
адамдар пышак тіліктер жасауды қай кезеңде үйренді ,кейінгі палеолитте 
адамдар саз балшықтан қыш ыдыс жасай бастауды үйренді ,неолитте
адамдардың азық түлікті өндіре бастаған кезеңі ,неолит
адамдардың дән үккішті ойлап тапқан кезеңі ,неолитте
адамдардың маймыл жануарлардан айырмашылығы ,еңбек құралдарын жасай білу 
адамдардың шағын топтары мен жекелеген аңшыларға аң аулаунәтижесінде мүмкін болды ,садақ пен жебені ойлап табу 
адамдардың шығу тегін белгілі бір аңмен байланыстыратын наным сенім ,тотемизм 
адамдардың шығу тегін жануарлармен байланыстырудың ғылыми атауы ,тотемизм 
адамзат баласының бірінші қолданған металы ,мыс
адамзат баласының металдан жасала бастаған құралдарды игере бастауы ,мыстытас энеолит 
адамзат баласының металдан жасалған құралдарды игере бастаған дәуір ,энеолит 
адамзат дамуының епті адамнан кейін пайда болды ,тік жүретін адам
адамзат дамуының епті адамнан кейінгі келесі даму кезеңі ,тік жүретін адам
адамзат дамуының епті адамнан кейінгі даму кезеңі ,тік жүретін адам
адамзат тарихы дамуының ең алғашқы кезеңі ,тас дәуірі
адамзат тарихындағы ең ұзақ уақытқа созылған ежелгі тас дәуірі ,палеолит 
адамзаттың өткен тарихын заттай мұралар арқылы зерттейтін ғылым ,археология 
адамның ғарышты игеру жетістігі мемлекет экономикасын неге бағыттады ,ғылыми индустриялық өндіріске 
адамның қоныстануына ең қолайлы жер ,қаратау жотасы 
адамның рухани мәдениетінің дамуы туралы мағлұмат береді ,өнердің пайда болуы 
адамның сыртқы биологиялық қасиеттерін зерттейтін ғылым ,антропология
адамның сыртқы биологиялық қасиеттерін зерттейтін ғылым ,антропология 
адамның сыртқы пішінін зерттейтін ғылым ,антропология 
адамның тұңғыш ғарышқа ұшуына байланысты шығарған о сүлейменовтың поэмасы ,адамға табын жер енді
адамның шағу тегін жануарлар өсімдіктер немесе табиғат құбылыстарымен байланыстыру ,тотемизм
адамның шағын тобы мен жекелеген аңшыға аң аулау мүмкін болды ,садақ пен жебені ойлап табу нәтижесінде 
адамның шығу тегін белгілі бір аңмен байланыстыру ,тотем
адамның шыққан отаны ,африка 
азамат соғысы болған жылдар ,1918 1920 жж 
азамат соғысы ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азамат соғысы ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азамат соғысы ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы 
азамат соғысы барысында қазақстанда 1919 жылы құрылды ,казревком
азамат соғысы басталған кезде ақ гвардияшыларға көмек ретінде иран мен каспий өңіріне енген әскер ,ағылшын әскерлері 
азамат соғысы болған жылдар , 1918 1920 жылдар
азамат соғысы жылдары 1918 1918 түркістан мен қазақстанда кеңестер құрған бөлімдер , мұсылман бөлімдері 
азамат соғысы жылдары бір өзі ғана мемлекетке 6 млн пұтқа жуық астық тапсырған уезд ,қостанай
азамат соғысы жылдары жергілікті бюджетті жойған экономикалық саясат ,әскери коммунизм
азамат соғысы жылдары кеңарал болысында партизан жұмысын ұйымдастырушы ,ө ыбыраев 
азамат соғысы жылдары лениннің тапсыруымен ақтөбе майданына қару жеткізу экспедициясын басқарған кім ,ә жангелдин 
азамат соғысы жылдары мемлекетке 6 млн пұт астық тапсырған уезд ,қостанай 
азамат соғысы жылдарына 1918 1920 жж қатысты ұғым , әскери коммунизм 
азамат соғысы жылдарында ақ гвардияшылармен бір топта болды ,алашорда 
азамат соғысы жылдарында атбасар уезіндегі партизан қозғалысының ірі орталығы болған қоныс ,мариинкамаринск селосы 
азамат соғысы жылдарында әскер бөлімдерін құру ісіне белсене қатысқан комиссарлардың бірі ,ә жангелдин
азамат соғысы жылдарында әскери коммунизм саясатының мәні ,азық түлік салғырты 
азамат соғысы жылдарында бір өзі ғана мемлекетке 6 млн пұтқа жуық астық тапсырды ,қостанай уезі ақмола семей облыстары
азамат соғысы жылдарында жергілікті халықтан құралған әскери бөлімдер , мұсылман бөлімдері 
азамат соғысы жылдарында жергілікті халықтан құралған әскери бөлімдер , мұсылман бөлімдері 
азамат соғысы жылдарында кеңарал болысында астыртын жұмысты 1916ж көтеріліс жетекшісі ,ыбыраев басқарды 
азамат соғысы жылдарында кеңарал болысында партизан жұмысын ұйымдастырушы1916жылғы ұлт азаттық қозғалысқа қатысқан тұлға ,ө ыбыраев 
азамат соғысы жылдарында қаза тапқандар саны ,8 млн адам 
азамат соғысы жылдарында қазақстан жерінде әскери бөлім құру туралы шешім қабылданды, ротадан ірі емес 
азамат соғысы жылдарында қандай темір жол желісі орал ембі мұнайлы аймағын орталық ресеймен байланыстырды ,александров гай ембі 
азамат соғысы жылдарында ой болысында партизан жұмысын ұйымдастырушы ,кәкімжан саркин
азамат соғысы жылдарында орал ембі мұнайлы аймағын орталық ресеймен байланыстырды ,александров гай ембі 
азамат соғысы жылдарында ө ыбыраев астыртын жұмысты үйымдастырды ,кеңарал болысында
азамат соғысы жылдарында солтүстік жетісуда ерекше қаталдық көрсеткен атаман ,б анненков 
азамат соғысы жылдарында шығыс майданының оңтүстік тобын басқарған ,м фрунзе
азамат соғысы кезеңінде қалыптасқан экономикалық және саяси жүйе ,әскери коммунизм 
азамат соғысы кезінде 1918 ж маусымнан 1919 ж қазан айы аралығында солтүстік жетісуда орын алған оқиға ,черкасск қорғанысы
азамат соғысы кезінде дала өлкесінің төтенше комиссары ,ә жангелдин
азамат соғысы кезінде зорлыққа негізделген азық түлік саясаты ,әскери коммунизм
азамат соғысы кезінде қазақ атты әскер бригадасы саяси бөлімінің меңгерушісі ,б қаратаев
азамат соғысы кезінде қалыптасқан экономикалық және саяси жүйе ,әскери коммунизм
азамат соғысы кезінде мұнай өндіру қысқарды ,4 есеге қарғанды көмірін өндіру 5 есеге
азамат соғысы кезінде ойболысында партизан қозғалысын басқарды ,кәкімжан саркин 
азамат соғысы кезінде солтүстік жетісу жерінде ерекше қаталдық көрсеткен атаман ,б анненков
азамат соғысы кезінде түркістан мен қазақстанда құрылған ұлттық әсери бөлімдер , мұсылман бөлімдері 
азамат соғысы кезіндегі ақмола атқару комитетінің мүшесі ,а асылбеков 
азамат соғысы кезіндегі торғай уезінің әскери комиссары ,а иманов
азамат соғысына 1918 1920 жж қатысты термин ,әскери коммунизм
азамат соғысына 1918 1920 жж қатысты термин ,әскери коммунизм
азамат соғысынан кейін қазақстанда өнеркәсіпті қалпына келтіру аяқталды ,1927 1928 ж ж 
азамат соғысында 1918 1920 жж бүлік шығарған ,чехословак корпусы
азамат соғысында 1918 1920 жж қаза тапқан адамдар саны шамамен ,8 млн
азамат соғысының барысында қай кезде азық түлік салғырты енгізілді ,1919 ж қаңтар 
азамат соғысының бас кезінде ұлттық әскери құрамалардың деңгейі неден аспау керек еді ,роталық звенодан 
азамат соғысының кескілескен қырғынында қанша адам каза тапты ,8 млн 
азамат соғысының нәтижесінде 1913 жылмен салыстырғанда ,көмір өндіру 5 есе қысқарды 
азамат соғысының нәтижесінде 1913 жылмен салыстырғанда ,мұнай өндіру 4 есе қысқарды 
азамат соғысының нәтижесінде 1913 жылмен салыстырғанда ,мыс өндіру тоқтап қалды 
азамат соғысы ол ,1 мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азат азаматтық қозғалысы құрылды ,1990 жылдың аяғында
азат азаматтық қозғалысын ұйымдастырушылардың көкейкесті арманы ,қазақстанның егеменді ел болуы 
азат азаматтық қозғалысының алдына қойған мақсаты ,қазақстанның егемендігін алу
азия комитеті қашан құрылды ,хіх ғ 20 30 жылдарында
азиялық училище ашылды ,1789 жылы
азық салғыртын азық салығымен алмастыру туралы шешім қабылданды ,1921 жылы наурыз 
азық түлік бағдарламасын қабылдаған кокп ок нің мамыр пленумы болған жыл ,1982 ж 
азық түлік салғырты енгізілді ,1919 жылы қаңтарда
айбас сағасындағы орталық қазақстан андронов мәдениетіне жататын алакөл қабірінен табылған ,алтын білезік
айша бибі және қарахан кесенелері орналасқан облыс ,жамбыл 
айшуақ бастаған хан кеңесін құрудағы орынбор әкімшілігінің мақсаты ,сырымды өзіне тарту
айшуақты кіші жүздің ханы етіп сайлаған жыл ,1797 ж 
акцияларын сатып алған кәсіпорын ,спасск мыс кеніші
ақ гвардияшыларға көмек ретінде иран мен каспий өңіріне енген әскер ,ағылшын әскері 
ақ жалды жүйрік аттардың иелері деп аталған тайпа ,аргиппей
ақ жалды жүйрік аттың иелері деп кімдерді атады ,аргиппейлер тайпасы латын тілінде 
ақ легионерлер петропавлды басып алды ,1918 жылы мамырдың соңында
ақ матамен сауда жасайтын орындары болған қалалар ,испиджаб ферғана
ақ орда xіv ғ 60 70 жж кім билік еткен тұста айтарлықтай күшейді ,орыс хан 
ақ орда алтын ордадан біржола бөліне бастайды ,xіv ғасырдың екінші ширегі 
ақ орда алтын ордадан біржола бөліне бастайды ,xіv ғасырдың іі жартысы 
ақ орда алтын ордадан мүлдем оқшауланды ,ұрыс хан кезінде
ақ орда алтын орданың құрамынан дербес хандық болып қай хан тұсында бөлініп шықты ,ерзен
ақ орда астанасы ,сығанақ 
ақ орда билеушілерінен сауран түбінде 1374 1375 жылдары жеңіліске ұшыраған ,тоқтамыс 
ақ орда билеушісі барақ ханның баласы ,жәнібек
ақ орда билеушісі барақ ханның баласы ,жәнібек
ақ орда билеушісі болған барақтың мақсаты ,сырдария бойындағы қалаларды қайтару
ақ орда кезеңі ,xііі xv ғасырдың басы
ақ орда қанша жылға жуық өмір сүрді ,240 жыл
ақ орда мемлекеті өмір сүруін тоқтатты ,xv ғ басы
ақ орда мемлекетін әлсіреткен ,темір шапқыншылығы 
ақ орда мемлекетін темір шапқыншылығы ,әлсіретті
ақ орда мемлекетінде қалалық мәдениет қай ханның тұсында дамыды ,ерзен хан
ақ орда мемлекетінің астанасы ,сығанақ 
ақ орда мемлекетінің өмір сүруін тоқтатты ,xv ғ басы
ақ орда мен моғолстан одағы бағытталды ,темір мемлекетіне қарсы 
ақ орда орнына келкен мемлекет ,әбілқайыр хандығы
ақ орда тағының мұрагерлері ,ұрыс пен барақ ханның ұрпақтары 
ақ орда тағының мұрагерлері ,ұрыс пен барақ ханның ұрпақтары 
ақ орда тайпаларында басым болған тайпа ,қыпшақтар
ақ орда тәуелсіз хандық болып қай ханның тұсында жарияланды ,ерзен хан
ақ орда тұрғындарының атауы , өзбек қазақ өзбек 
ақ орда хандары ,ерзен орда ежен ұрұс 
ақ орда хандығы қай ұлыстың территориясында болды ,жошы ұлысы 
ақ орда хандығының орнын басқан хандық ,әбілхайыр хандығы
ақ орда ханы темір мәлік пен тоқтамыстың арасында 1377 жылы шайқас өткен жер ,сауран 
ақ орда ыдырап орнына әбілхайыр хандығы құрылды ,xv ғ басы
ақ орда әбілхайыр хандығы моғолстанда түрік тайпаларының басшыларының атауы ,әмір
ақ ордада барақ хан билік құрған жылдар ,1423 1428 жж 
ақ ордада қалалық мәдениеттің дами түсуі ,ерзен хан кезінде
ақ ордада оғлан атағына кім ие болды ,ұлыс билеушілері
ақ ордадағы моғолстандағы хандық өкіметте әскери қызметкерлерге берілген атау , бек 
ақ орданы ақсақ темір баскыншылық әрекеттерінен қорғаудың негізгі ауыртпалығы ,орыс ханға түсті
ақ орданы әлсіреткен ,ақсақ темір жорықтары
ақ орданы әлсіреткен жағдай ,ақсақ темір жорықтары 
ақ орданы әлсіреткен қандай жағдай болды ,ақсақ темір жорықтары 
ақ орданың алтын ордадан біржола бөліне бастаған уақыты ,xіv ғ іі ширегі
ақ орданың астанасы ,сығанақ 
ақ орданың аумағы жошының осы балаларының иелігін қамтыды ,орда ежен мен шайбани ханның
ақ орданың аумағы ,жайық өзенінен батыс сібір ойпатына дейінгі сырдарияның орта және төменгі ағысы
ақ орданың аумағын қамтыған жерлер ,орда ежен мен шайбан аудандарының жері 
ақ орданың билеушісі болған тоқтамыстың әкесі ,түй қожа
ақ орданың билеушісі ұрыс ханның ұрпағы ,жәнібек хан
ақ орданың билігін өз қолына алып мемлекеттің күш қуатын нығайтады ,ұрус хан 
ақ орданың бірінші ханы кім болды ,ерзен хан 
ақ орданың күш қуатын нығайтқан хан ,ұрыс хан
ақ орданың құлауы нәтижесінде қазақстанның далалық аймағында ,әбілқайыр мемлекеті құрылды 
ақ орданың негізін қалаған ,орда ежен
ақ орданың орнына келген мемлекет ,әбілқайыр хандығы 
ақ орданың орнына келген хандық ,әбілқайыр 
ақ орданың орталығы сығанақ қаласының маңында орналасқан кесене ,көккесене
ақ орданың орталығы сығанақ орналасқан жер ,сырдың орта ағысы
ақ орданың орталығы сығанақ орналасқан жер ,сырдың орта ағысы
ақ орданың саяси орталығы болған қала ,сығанақ
ақ орданың саяси орталығы оңтүстікке ауысып оның астанасы ,сығанақ болды
ақ орданың саяси тарихының бірінші кезеңі ,алтын орда билігінен бөліну үшін күресі
ақ орданың соңғы ханы ,барақ 
ақ орданың тұрғындарының атауы , өзбек қазақ өзбек 
ақ орданың шаңырағын көтерген хан ,орда ежен 
ақ орданың ыдыраған уақыты ,xv ғасырдың 20 жылдарында
ақ орданың ыдырауы нәтижесінде қандай мемлекеттер пайда болды ,ноғай ордасы мен әбілқайыр хандығы 
ақ орданың ыдырауы нәтижесінде пайда болды ,ноғай ордасы мен әбілхайыр хандығы
 ақ сиса әнінің авторы ,жаяу мұса
ақан сері қорамсаұлының ашу ызаға үміт сезімге толы өлеңі , құлагер 
ақан серінің әндері , маңмаңкер сырымбет балқадиша 
ақбешім қаласы батыс түрік қағанының көне астанасы ,суяб 
ақбешімсуяб қалаларынан табылды ,будда ғибадатханалары
ақиқат сыйы еңбегінің авторы ,ахмет иугнеки
ақмола қаласына астана атауы берілді ,1998 ж 
ақмола округі құрылған мерзім ,1832 жылы 
ақмола уездік съезінің алашорда автономиясының теріске шығарған қаулысы ,1918ж наурыз 
ақмола семей облыстарындағы оқу орындары бағындырылды ,батыс сібір округіне
ақмола семей жетісу орал торғай облыстарын басқару туралы ереже ,1891ж бекітілді 
