question,answer
Ұйғыр халқының рухани мәдениетін зерттеген ғалым-саяхатшылар:,"Ш Уәлиханов, Н Пржевальский"
Ұйғыр халық ауыз әдебиетінің ескерткіші –,«Он екі мұқам» 
" Ұйғыр, дүнгендер Жетісу өлкесіне қоныс аударуы –"," 45000 ұйғыр, 5000 дүнген "
Ұйғырдың «Ризвангул» симфониялык поэмасы 1954 жылы: ,Мемлекеттік сыйлыққа ұсынылды 
Ұйғырлар (45 мың) мен дүнгендер (5 мың) Қазақстанға қашан қоныс аударды?,1881-1884жж
Ұйғырлар есебінен ұйымдастырылған болыс саны – ,6 ұйғыр болысы 
Ұйғырлар қай территорияда тығыз орналасты? ,Шығыс Түркістан 
Ұйғырлар мен дүнгендер Жетісуға – ,"Цинь империясынан қысым көріп, қоныс аударды "
Ұйғырлар мен дүнгендер қоныс аударған аймақ:,Жетісу
Ұйғырлар мен дүнгендер орналасқан аймақ ,Жетісу
Ұйғырлар мен дүнгендерді Жетісуға қоныс аударуға мәжбүр етті: ,Цинь империясынан қысым көріп қоныс аударды 
Ұйғырлар мен дүнгендердің Қазақстанға қоныс аудару себебі ,Цинь өкіметі қысым көрсетті 
Ұйғырлар мен дүнгендердің қоныс аударуы – ,азаттық күресіне байланысты 
 Ұйғырлар тығыз орналасты – , Шығыс Түркістанда 
Ұйғырларды Турфан оазисі мен Ганчжоу ауданына көшуге кім мәжбүр етті?,Енисей кырғыздары 
Ұйғырлардың Жетісу жеріне коныс аударған уақыты: ,1881-1884 жж 
Ұйғырлардың Жетісу жеріне қоныс аударған аралығы: ,1881-1884 жж
Ұйғырлардың Жетісу өлкесі мен Қырғыз жеріне қоныстануы созылған жылдар: ,1881- 1884 жж 
Ұйғырлармен дүңгендер тарихында ерекше орын алатын оқиға: ,1881-1884 жж Жетісуге қоныс аударуы
"Ұқсастықтарына қарай Ежелгі грек авторлары ""Азиялық скифтер"" деп атаған – ",Сақтарды 
Ұлт саясатын жүргізуде әділетсіздікке жол берілгендігіне наразылық білдірген орыс тілі пәнінің мұғалімі М Елікбаев: ,психикалық ауруханалар жүйесі арқылы жазалауға ұшырады 
Ұлттық бірыңғайтестілеу - 2004 ж енгізілді Ұлттық валюта қашан енді? ,1993 ж 
 Ұлттық валюта теңгенің айналымға енген уақыты: , 1993 ж 15 қараша
Ұлттық Ғылым академиясының Ш Уәлиханов атындағы тарих және этнология институты 1998 жылдан бастап шығарған журналдың атауы: ,«Отан тарихы»
 Ұлттық қазақ театрына көптеген шығармашылық жетістіктері үшін 1937 жылы берілген атақ: Қазақ академиялық драма театры Ұлттық қазақ театрына Қазақ Академиялық драма театры атағы берілген жыл: , 1937 жыл 
 Ұлттық қазақ театрында тұңғыш қойылған пьеса –," ""Еңлік-Кебек"""
Ұлттық қазақ театрында тұңғыш рет қойылған пьеса: ,"""Еңлік-Кебек"""
Ұлттық театрдың нараулай (нашарлай) бастауы, 1980 жылдары
Ұлттық-демократиялық мәдениеттің көрнекті өкілдерінің алғашқы кітабы шықты – ,1905-1907 жж революциядан кейін
Ұлы Абай оқыған оқу орны: ,Семейдегі «Ахмет- Риза» медресесі
"Ұлы Абаймен дос болған, «Қырғыздардың заң әдеп- ғұрыптары үшін материалдар»деген тақырыпта құнды зерттеу жариялаған: ",Гросс 
Ұлы Абаймен шынайы достық байланыста болған – ,С Гросс
Ұлы ақын Абай Құнанбайұлының шығармалар жинағының баспадан шығуы: ,1909 жылы
"Ұлы әмір, беклербек атағыналған - Едіге Ұлы жұт жылдары: ",1930-1932 ж ж
Ұлы жүз аумағы қалыптасқан жер –,Жетісу мен Түркістан 
" Ұлы жүз биі, Жеті жарғыны жасауға қатысқан—", Төле би
Ұлы жүз территориясындағы Қоқан хандығының тірегі болған Таушүбек бекінісі орыс әскерлеріне қантөгіссіз берілді – ,1851 ж 7 шілдеде
Ұлы Жүздегі Қоқан хандығының тірегі Таушүбек бекінісін орыс әскерлерінің қантөгіссіз басып алған жылы:,1851 жылы 7 шілде
Ұлы жүздегі Тайшүбек бекінісін орыс әскерлері қантөгіссіз басып алған жыл:,1851жыл
Ұлы Жүзді басқаратын пристав тағайындалған жыл:,1848 жылы
"Ұлы жүздін Тайшыбек, Сұраншы батырлары колдау көрсеткен батыр: ",Кенесары
Ұлы жүздің әкімшілік орталығы Қапалдан Верныйға ауыстырылды – ,1855 жылы
Ұлы жүздің және Солтүстік Қырғызстанның шекаралық бекінісінің салынған мерзімі- ,1859ж 
Ұлы жүздің және Солтүстік Қырғызстанның шекарасындағы Қастек бекінісінің салынған мерзімі:,1859 жыл
Ұлы жүздің мекендеген жері ,"Жетісу,Оңтүстік Қазақстан"
Ұлы жүздің оңтүстік аймақтарын билігінде ұстаған – ,Қоқан хандығы 
Ұлы Жүздің приставтығы Қапалдан Верныйға ауыстырылған жыл ,1855 жыл
Ұлы жүздің Ресейге қосылуын қолдаған Ұлы жүз батыр билері: ,"Сұраншы батыр, Шаян батыр, Жайнақ би"
Ұлы жүздің рулары — ,"дулат, албан, жалайыр "
Ұлы жүздің рулары қандай тайпалар?,"Дулат, албан, жалайырлар "
"Ұлы жүздің Тайшыбек, Сұраншы батырлар қолдау көрсеткен: ",Кенесары
"Ұлы жүздің Тайшыбек, Сұраншы батырлары қолдау көрсеткен батыр: ",Кенесары
 Ұлы Жібек жолы бойында орналасқан Қазақстан жеріндегі сауданың басты орталықтары болған қалалар- ," Тараз, Испиджаб "
 Ұлы Жібек жолы бойындағы ортағасырдағы көлемі 30 гектардан асатын қала жұрттары: , Испиджап
Ұлы Жібек жолы дипломатия және сауда жолы ретінде қалыптаса бастады – ,Б з д ІІ ғасырдың ортасында 
Ұлы Жібек жолы қай жылдарға дейін пайдаланылды? ,ХІУ-ХУ ғ ғ 
 Ұлы Жібек жолы қатынасының әлсірей бастауына әсер еткен басты оқиға – , XVІІ ғасырдан бастап теңіз жолдарының ашылуы 
 Ұлы Жібек жолы қатынасының әлсірей бастауына әсер еткен басты оқиға: , XV ғ бастап теңіз жолдарының ашылуы 
Ұлы Жібек жолы пайдаланылды – ,ХІV-ХV ғғ дейін 
Ұлы Жібек жолы іске аса бастаған уақыт –,б з д ІІ ғасыр 
Ұлы Жібек жолы іске аса бастады ,Б э д ІІ ғасырдың ортасында
Ұлы Жібек жолын дипломатиялық мақсатқа пайдаланған қытай императоры: ,У-Ди
Ұлы Жібек жолында сауданың өркендеуіне байланысты Қытайдан басқа жібек өндіру жандана бастаған өңір: ,Кавказ жері
Ұлы Жібек жолындағы саудаға байланысты Иранға (Парсы еліне) Одақ құрған елдер ,Түрік қағанаты мен Византия
Ұлы Жібек жолының VІ-VІІ ғасырдағы ең гүлденген бағыты –,Қытайдан Жетісу және Оңтүстік Қазақстан 
Ұлы Жібек жолының Алакөл жанымен Шығысқа өтетін қақпасы:,Жоңғар
Ұлы Жібек жолының б э д VІ-VІІ ғасырлардағы ең гүлденген бөлігі ,Қытайдан Жетісу және Оңтүстік Қазақстан арқылы батысқа 
Ұлы Жібек жолының бәсеңдеуіне ықпал еткен жағдай: ,Моңғол шапқыншылығы
"Ұлы Жібек жолының бойында орналасқан мұсылман, христиан, буддизм т б діндердің жерлеу орындары, діни орындары ашылған қала: ",Тараз
Ұлы Жібек жолының бойындағы Испиджабтан шыққан сауда жолы бөлінді:,Екі тармаққа
Ұлы Жібек жолының қызмет ете бастаған уақыты:, б з д ІІ ғасыр
"Ұлы Жібек жолының Қызылқұм арқылы Хорезм мен Үргенішті, Еділ бойы мен Кавказды байланыстырған тармағы негізгі сауда жолының біріне айналды: ",Алтын Орданың кезінде
Ұлы Жібек жолының маңызы – ,халықаралық саудаға әсер етті 
"Ұлы Жібек жолының оңтүстік бағыты Ферғана, Самарқан, Иран, Ирак елдері арқылы шықты:",Жерорта теңізіне
Ұлы Жібек жолының Орталық Қазакстанға шығатын тармағы: ,"Сығанақ, Ақсүмбе"
Ұлы Жібек жолының торабында орналасқан Отырардан шыққан керуеннің Сырдария арқылы жеткен қаласы: ,Васидж
Ұлы Жібек жолының ҮІ-УІІ ғасырлардағы ең гүлденген бөлігі ,Қытайдан Жетісу және Оңтүстік Қазақстан арқылы батысқа 
Ұлы Жібек жолының Шығысқа шығатын басты қақпасы оңтүстік-батыс Жетісудан өткен бағыты: ,"Тараз, Алматы, Жаркент"
Ұлы Жібек жолының Шығысқа шығатын басты қақпасы: ,Жетісу 
Ұлы қоныс аудару дәуірінанықтаңыз? ,ІІ-ІVғ 
Ұлы құрылтайда қаған ұлдарын отырғызды –,"«боз оқ» деп оң жағына, «үш оқ» депсол жағына "
Ұлы Қытай қорғаны салынды: ,б з б 3 ғ
Ұлы ойшыл - Әбу Наср әл-Фараби араб тілін игерген қалалары: ,"Бағдат, Дамаск"
Ұлы Отан жылдарында Алматы қаласында ашылған жоғары оқу орны: ,Шет тілдер институты
Ұлы Отан жылдарында Алматыдан басқа ірі ғылыми орталықтар бой көтерген қалалар:,"Өскемен, Қарағанды, Шымкент "
Ұлы Отан жылдарында қанша қала типтес елді мекен қирады?,1710 
Ұлы Отан соғысқа дейінгі бес жылдықтарда іске қосылған кәсіпорын: ,Ащысай полиметалл 
Ұлы Отан соғысы алдында Қазақстан мұнай мен көмір өндіруден алды – ,алтыншы орын 
Ұлы Отан соғысы алдында Қазақстанның мұнай мен көмір өндіруден алған орыны: ,Алтыншы 
Ұлы Отан соғысы аяқталғаннан кейін азық-түлік және өнеркәсіп тауарларына карточка жүйесі қай жылы алынып тасталды? ,1947 ж желтоқсан 
Ұлы Отан соғысы аяқталды: ,1945 ж 
Ұлы Отан соғысы басталған жыл: ,1941 ж 
Ұлы Отан соғысы басталған кездегі Қазақстанда жүргізілген экономикалық шара: ,Майдан өңірінен кәсіпорынадарды Қазақстанға көшіру
Ұлы Отан соғысы басталды: ,1941 ж 
Ұлы Отан соғысы болған жылдар:,1941-1945 жж 
"Ұлы Отан соғысы жылдары ""Ресей кең- байтак, бірак шегінерге жер жоқ, артымызда Москва,""-деген жалынды сөзді айтқан:",В Клочков 
Ұлы Отан соғысы жылдары Ақтөбеде салынып жатқан ферроқорытпа зауытын аяқтау үшін құрал-жабдықтары пайдаланылды: ,Запорожье зауытының 
Ұлы Отан соғысы жылдары Алматыға Мәскеуден көшіріп әкелінген жоғарғы оқу орны: ,Авиация институты 
Ұлы Отан соғысы жылдары әдебиетте публицистикалық мақалалары елеуліқұбылыс болған майдангер:,Б Бұлқышев 
Ұлы Отан соғысы жылдары әрбір нешінші Қазақстандық майданға аттанды? ,Бесінші
" Ұлы Отан соғысы жылдары батыс облыстардан көшірілген завод, фабрикалар негізінен Қазақстанның қай қаласында орналасты?", Шымкентге 
Ұлы Отан соғысы жылдары жұмысшылардың жетіспеушілігінен шығу үшін қандайжағдайға көшті? ,Еңбек резервтерінің мектептері мен училищелері құрылады 
Ұлы Отан соғысы жылдары Каспий өңіріне соғыс жағдайы енгізілді: ,1942 ж 
Ұлы Отан соғысы жылдары көшіріліп әкелінген зауыттар мен фабрикалар орналастырылған қалалар ,"Алматы, Орал, ІІІымкент, Семей, Қарағанды"
 Ұлы Отан соғысы жылдары Қазақ мемлекеттік универстетінің студенттері танк колоннасын жасауға жинаған қаржы көлемі: , 600 мың сом 
 Ұлы Отан соғысы жылдары Қазақстан жастары жойғыш ұшақ эскадрильясын жасақтауға жинап берген қаржы көлемі: , 3 млн сом
Ұлы Отан соғысы жылдары Қазақстан комсомолы қамқорлыққа алған зауыттар: ,Сталинград трактор зауыты мен Красный Октябрь зауыты
Ұлы Отан соғысы жылдары Қазақстанға көшірілген зауыттың бірі – ,№3 Александров радиозауыты 
Ұлы Отан соғысы жылдары Қазақстанда ашылған жоғарғы оқу орындары: ,"Шымкент технология институты, Шет тілдер институты, Жен ПИ, Физкультура және спорт, Консерватория "
Ұлы Отан соғысы жылдары Қазақстанда ашылған жоғары оқу орны: ,Шымкент технология институты
Ұлы Отан соғысы жылдары Ленинград үшін шайқаста қаза тапқан Кеңес Одағының Батыры: ,С Баймағамбетов
Ұлы Отан соғысы жылдары Мәскеу түбіндегі шайқаста қаза тапқан Кеңес Одағы Батыры: ,Т Тоқтаров
Ұлы Отан соғысы жылдары Мәскеу үшін шайқасты: ,М Ғабдулин
"Ұлы Отан соғысы жылдары партиялық әкімшілік, қоғам танушы ғалымдардан талап еткен зерттеушілер: ",Комунистік идеологияны қуаттаған зерттеулер 
Ұлы Отан соғысы жылдары республика қанша сырттан көшірілген адамдарды қабылдады?,532 мың
Ұлы Отан соғысы жылдары республикада әскери даярлықган өткен адамдар саны:,2 млн- нан астам
 Ұлы Отан соғысы жылдары республиқаға кошіріліп әкелініп қалпына келтірілген жеңіл және тоқыма өнеркәсібі кәсіпорнының саны:, 53 
" Ұлы Отан соғысы жылдары республиқаға көшіріліп әкелініп, қалпына келтірілген тамақ өнеркәсібі кәсіпорнының саны:", 54
Ұлы Отан соғысы жылдары үздік табыстарға жеткен Қазақстан колхозшылары: ,"Ш Берсиев, ЬІ Жақаев Ким Ман Сам"
Ұлы Отан соғысы жылдары: ,1941-1945 жж 
Ұлы Отан соғысы жылдарында 18 жасар ең жас қазақстандық Кеңес Одағының Батыры атанды: ,Ж Елеусізов
Ұлы Отан соғысы жылдарында Алматы қаласында ашылған жоғары оку орны ,Дене шынықтыру институты
Ұлы Отан соғысы жылдарында Алматы қаласында ашылған жоғары оқу орны: ,Қазақ мемлекеттік консерваториясы
Ұлы Отан соғысы жылдарында Алматыда ашылған жоғары оқу орны – ,шет тілдер институты
Ұлы Отан соғысы жылдарында ауыл мен село еңбекшілерінің жағдайының күрт нашарлап кетуіне не себеп болды? ,Берілген жауаптардың бәрі дұрыс 
 Ұлы Отан соғысы жылдарында әр гектардан 52 ц тары өсірген звено жетекшісі кім? , Дацкова 
 Ұлы Отан соғысы жылдарында батыс облыстардан көшірілген зауыт-фабрикалар негізінен орналасты – , шымкентте 
Ұлы Отан соғысы жылдарында елімізде қираған қала үлгісіндегі елді мекендер саны – ,1710 
Ұлы Отан соғысы жылдарында ерлік көрсеткен Қазақстандық ұшқыштар: ,"С Луганский, Т Бигельдинов, Н Әбдіров "
Ұлы Отан соғысы жылдарында жазылған Ә Әбішевтің повесі: ,«Жас тулектер»
Ұлы Отан соғысы жылдарында жазылған Ғ Мұстафиннің повесі: ,«Шығанақ»
Ұлы Отан соғысы жылдарында жазылған Ғ Мүсіреповтың повесі: ,«Қазақ солдаты»
Ұлы Отан соғысы жылдарында жазылған С Мұқановтың повесі: ,«Өмір мектебі»
Ұлы Отан соғысы жылдарында Кеңес Одағының батыры атағын алған қазақстандықтар саны: ,500-ге жуық 
Ұлы Отан соғысы жылдарында кеудесімен жау дзотын жапқан Қазақстандық жауынгерді атаңыз? ,Тастемір Рүстемов 
Ұлы Отан соғысы жылдарында командалық мамандарды дайындау мақсатында Қазақстан әскери училищелерге жіберді – ,45 мың ұлды 
 Ұлы Отан соғысы жылдарында Қ Аманжоловтың дүниеге келген еңбегі –,″Ақын туралы аңыз″ 
Ұлы Отан соғысы жылдарында Қазақстанда қанша офицер даярланды?,16 мың
Ұлы Отан соғысы жылдарында Қазақстандық партизандардың жалпы саны: ,"3,5 мың адам "
Ұлы Отан соғысы жылдарында Қазақстанның қай облысы майдан төңірегіндегі статуска ие болды? ,Орал 
Ұлы Отан соғысы жылдарында қазақтарға Еділ бойынан көшіріліп әкелінгендер?,Немістер 
Ұлы Отан соғысы жылдарында қанша қала типтес елді мекен қирады? ,1710 
Ұлы Отан соғысы жылдарында майданға әрбір қазақстандық аттанды – ,бесінші 
Ұлы Отан соғысы жылдарында Ока өзенінің жағасында Серпухово түбіндегі Воронино деревнясында қайтыс болған қазақ батырының есімін атаңыз ,Р Амангелдиев 
Ұлы Отан соғысы жылдарында тарыдан рекордтық өнім алған атакты еңбек ардагері: ,Ш Берсиев 
Ұлы Отан соғысы жылдарында түсірілген кино-картина: ,"«Жауынгер ұлы», «Қазақ киноконцерті- майданға»"
Ұлы Отан соғысы жылдарында түсірілген кино-картина: ,Абай әндері 
Ұлы Отан соғысы жылдарындағы атақты қазақ партизаны: ,Қасым Қайсенов
Ұлы Отан соғысы жылдарындағы КСРО-ның шығыны қандай болды?,27 млн адам 
Ұлы Отан соғысы жылдарындағы Қазақстанға ең жақын майдан: ,Сталинград
Ұлы Отан соғысы жылдарындағы Қазақстандық партизандардың жалпы саны:,"3,5 мың адам"
Ұлы Отан соғысы кезінде алғаш рет Кеңес Одағының батыры атағын алған қазақстандық жауынгер ,К А Семенченко 
Ұлы Отан соғысы кезінде әдебиетте пубилицистикалық мақалалары елеулі құбылыс болған майдангер-офицер: ,Б Бұлқышев
Ұлы Отан соғысы кезінде әскери әуежай құрылыстары салынған жер: ,Сайхын
Ұлы Отан соғысы кезінде Қазақ жерінеЕділ бойынан – ,360 мыңан астам неміскөшірілді 
Ұлы Отан соғысы кезінде Қазақстан – ,Одақта өндірілген көмірдің 1/8 бөлігін берді 
Ұлы Отан соғысы кезінде Қазақстан: ,Одақта өндірілген көмірдің 1/8 берді 
Ұлы Отан соғысы кезінде Қазақстанға көшірілген 27 әскери оқу орны офицер дайындады – ,16 мың 
"Ұлы Отан соғысы кезінде Республикада социалистік жарыс барысында ""мыңдықтар"" қозғалысы болды Оны ұйымдастырушы –",Г Хайдин 
Ұлы Отан соғысы кезінде соғыс жағдайы енгізілген Қазақстанның аймағы: ,Батыс Қазақстан
 Ұлы Отан соғысы кезінде фашистердің жоспары бойынша Қазақстан қандай ірі елдің құрамына енуі қажет еді?," ""Үлкен Түркістан"" "
 Ұлы Отан соғысы кезінде фашистердің жоспары бойынша Қазақстан құрамына енуі қажет еді – ," ""Үлкен Түркістанның"" "
 Ұлы Отан соғысы қарсаңында «Қазақ КСР-інің еңбек сіңірген мұғалімі» атағы берілді ," С Көбеев, С Ақышев, А Ақатов, Ш Сарыбаев "
 Ұлы Отан соғысы қарсаңында Казақстанның 57 ғылыми мекемесінде ғалым еңбек етті:, 1700-ден аса 
Ұлы Отан соғысы қарсаңында КСРО бойынша Қазақстан қорғасын өндіруден нешінші орын алды?,Бірінші орын 
Ұлы Отан соғысы қарсаңында Қазақстан қорғасын өндіруден нешінші орын алды?,Бірінші 
Ұлы Отан соғысы қарсаңында Қазақстанға әкімшілік жолмен көшірілген немістер саны:,360мың
Ұлы Отан соғысы қарсаңында Қазақстанға көшірілген поляктар саны:,102 мың
 Ұлы Отан соғысы қарсаңында Қазақстанға көшіріліп әкелінген 27 әскери оқу орны даярлап шығарған офицерлер саны: , 16 мың 
 Ұлы Отан соғысы қарсаңында Қазақстанда –, 118 орта арнаулы оқу орны жұмыс істеді 
Ұлы Отан соғысы қарсаңында Қазақстанда арнаулы оқу орындар саны: ,118 арнаулы оқу орны 
Ұлы Отан соғысы қарсаңында Қазақстанда жоғары оқу орындар саны: ,20 жоғары оқу орны 
Ұлы Отан соғысы қарсаңында Қазақстанда жоғары оқу орындар саны—,20 жоғары оқу орны Ал 1980 жылдары 55 болды
Ұлы Отан соғысы қарсаңында Қазақстандағы жоғары оқу орындарының саны: ,20
Ұлы Отан соғысы қарсаңында Қазақстанның 57 ғылыми мекемесінде (жоғары оқу орындарын коса алғанд қанша ғалым еңбек етті?,1700-деп астам 
Ұлы Отан соғысы қарсаңында қалалар мен қала үлгісіндегі елді мекендерде тұрған қазақтардың үлесі:,16%
