question,answer
А С Пушкин атындағы мемлекеттік кітапхана Алматыда қашан ашылды?,1939 ж 
А С Пушкин Қазақстанда қандай қалаларда болды:,"Орынбор, Орал"
А С Пушкин Оралда қағазға түсірген поэма: ,"""Қозы-Көрпеш және Баян Сұлу"""
А С Пушкин Оралда қай поэманы қағазға түсірді? ,"""Қозы-Көрпеш және Баян Сұлу"" "
А С Пушкиннің Орал жерінде танысқан поэмасы:,"""Қозы-Көрпеш және Баян Сұлу"" "
А С Пушкиннің Орынбор жерінде болғанда қазақтардың шаруалар соғысына қатысқаны туралы жазған еңбегі: ,«Пугачев бүлігінің тарихы»
А С Пушкиннің Орынборда (Қазақстанда) болған жыл: ,1833 жыл
"А С Пушкиннің,М Ю Лермонтовтың,Ф Шиллердің шығармаларын пролетарлық әнұран Интернационалды қазақ тіліне аударған: ",Ж Аймауытов
А Яссауи Бұқара қаласында діни білім алуына көмектескен ғұлама:,Юсуф Хамадани
А Яссауи кесенесі орналасқан қала? ,Түркістан 
А Яссауидің “Диуан-и хикмет” жинағы: ,"адалдыққа,имандылыққа,даналыққа шақырады"
Абай атындағы Қазақ мемлекеттік музыкалық опера және балет театры қашан ашылды? ,1934 ж 
Абай есімі берілген жоғары оқу орны – ,Қазақ пединституты 
Абай есімі берілген жоғары оқу орны: ,Қазақтың тұңғыш пединституты 
Абай жолы» романы үшін Мемлекеттік сыйлық алған көрнекті қазақ жазушысы: ,М Әуезов 
Абай жолы» эпопеясы үшін Лениндік сыйлық алған көрнекті қазақ жазушысы: ,М Әуезов 
Абай Құнанбаев дүниеге келген өңір ,Шыңғыстау өңірі
Абай Құнанбаев өмір сүрген жылдар,1845-1904 жж 
Абай Құнанбаевтың шын есімі,Ибрагим
Абай Құнанбайұлымен жақын таныс болған поляк азаттық қозғалысының өкілі:,С Гросс 
"Абай Құнанбайұлымен, оның туыстарымен жақын таныс болған поляк азаттық қозғалысының өкілдері:","С Гросс,А Янушкевич"
Абай Құнанбайұлының алғашқы шығармалар жинағы ресми баспадан шықты:,1909 жылы 
Абай Құнанбайұлының қазақ әдебиетінде алатын орны: ,Жазба әдебиетінің негізін салушы
Абай Құнанбайұлының орыстың ақыны А С Пушкиннен аударған шығармасы: ,«Евгений Онегин»
Абай Құнанбайұлының шығармалар жинағының ресми баспадан шықты:,1909 жылы 
Абай Құнанбайұлының шын есімін атаңыз? ,Ибраһим 
Абай Семейде қандай оқу орнында оқыды? ,Медреседе 
Абай Семейдегі медресесінде оқыды: ,Ахмет Риза
Абай шәкірттерінің ішінен ең мол мұра қалдырған:,Шәкәрім
Абайдың 1900 жылы жарық көрген «Орта жүз қазақ ордасының руларының шығу тарихы туралы жазбалар» деген еңбегінің мазмұны: ,Семей облысы қазақтарының рулық құрамы туралы
Абайдың 1900 жылы статистикалық комитеттің басылымында жарияланған «Орта жүз қазақ ордасының руларының шығу тарихы туралы жазбалар» еңбегінде көтерген мәселе: ,Семей облысы қазақтарының рулық құрамын анықтау 
Абайдың аса дарынды шәкірті:,Ш Құдайбердіұлы
Абайдың әкесі Құнанбай старшын болған ру:,Тобықты
Абайдың жинағы ресми түрде баспадан:,1909 ж шықты 
Абайдың нақыл сөздері берілген шығармасы:,«Ғақлиялар»
Абайдың оқуын аяқтатпай еліне әкесі Құнанбайдың алып кету себебі: ,Ел билеу ісіне тарту үшін 
Абайдың сана-сезімін кеңейтуге орыстың қай интеллигент өкілі әсер етті? ,Достоевский 
Абайдың Семейде оқыған оқу орны:,Ахмет Риза медресесі
Абайдың талантты шәкірті: ,Шәкәрім Құдайбердіұлы Абай Семейдегі Ахмет Риза медресесінде оқыды
Абайдың туған жері – ,Шыңғыс тауы 
Абайдың ұлы Әбдірахман – ,артиллерия училишесін бітірді
Абайдың ұлы Әбдірахман бітірген оқу орны:,Артиллерия училищесі
Абайдың ұлы Әбдірахман бітірді:,Петербургтегі Михайлов артеллеррия училишесін
Абайдың ұлы Әбдірахманның Петербургте бітірген оқу орны:,Артиллерия училищесі 
Абайдың шәкірттерінің ішінде ең мол мұра қалдырған:,Ш Құдайбердиев
Абайдың шығармалары ресми түрде баспадан шыққан жыл:,1909 ж 
Абақтыда 12 серігімен азапталып өлтірілген 1916 жылғы ұлт-азаттық көтеріліс басшыларының бірі: ,Ж Мәмбетов
Абдаллах өлген соң Тәуекел хан Мәуараннахрға басып кірген жыл – ,1598 ж 
Абдаллах хан Самарқан өлкесіндегі Африкент уәлаятын сыйға тартқан хан:,Тәуекел 
Абдаллах хан Самарқан өлкесіндегі Африкент уәлаятын сыйға тартты:,Тәуекел ханға
Абдаллах ханмен Ташкент маңын билеуші Баба сұлтан арасында билік үшін талас басталды: ,1579 жылы
Абдаллах ханның Қазақ ханы Тәуекелге сыйлыққа жер беруінің себебі:,Баба сұлтанға қарсы күресте қолдау білдіргені үшін 
Абдаллах ханның қазақ ханына сыйға берген жері – ,Түркістан аймағы 
Абдаллах ханның Хақназарға сыйға берген жері? ,Түркістан аймағындағы бірнеше қала 
Абыз асатаяғының бөліктері табылған ескерткіш:,Аралтөбе
Абыздар: ,Ежелгі салт дәстүрлер мен әдет ғұрыптардың бұлжымай орындалуын қадағалады
Абыздардың танымалы белгісі: ,Тостаған мен айырықша белгілері
Абылай 1771 жылы хан болып сайланды Абылай билік құрған жылдар: ,1771-1881 
Абылай жоңғар тұтқынына түсті:,1741 жыл
Абылай жоңғар шапқыншылығына қарсы күреске қатыса бастады: ,15 жасында
Абылай жоңғарларға қарсы күреске белсене ат салысты: ,15 жасында 
Абылай қолдаған шаруашылық – ,жер шаруашылығы
"Абылай өзара қарым-қатынасында тату-тәтті көршілік саясат ұстануға, арқа сүйеуге тырысқан ел:",Ресей
Абылай Ресейге ант берген жылдар:,1740-1742 ж ж
Абылай сұлтанды үш жыл тұтқында ұстады: ,Жоңғар хандығы
Абылай тұсында хан билігіне енгізілген өзгеріс: ,Хан билігі шексіз болды
Абылай хан 1761ж ағаш үй тұрғызу үшін бірнеше ұста және 200-300 пұт астық жіберуді сұрап хат жіберді: ,ІІ Екатерина
Абылай хан болып сайланды:,1771 жылы 
Абылай хан дамытуды қолдаған шаруашылық саласы:,Егіншілік
Абылай хан дүние салды: ,1781 жылы 
Абылай хан дүниеге келген жыл: ,1711 жылы 
Абылай хан егін шаруашылығын дамытуды қолдаған өңір:,Ертіс бойы
"Абылай хан Ертіс пен Есіл бойында, Көкшетау, Тарбағатай өңірлерінде шаруашылықтың осы саласын дамытуды қолдады:",Егін шаруашылығын
Абылай хан жер өңдеу шаруашылығын дамытқан өңір:,Ертіс бойы
Абылай хан жерленген қала: ,Түркістан 
Абылай хан жерленді – ,Түркістанда
Абылай хан жоңғарлар тұтқынына түсті:,1741 жылы
Абылай хан жоңғарлар тұтқынына түсті: ,1741 жылы
Абылай хан кезінде шаруашылықтың қандай түрі жедел дамыды? ,Егін шаруашылығы 
Абылай хан кезіндегі феодалдық мемлекетті қалпына келтіруді мақсат еткен ұлт-азаттық қозғалыстың жетекшісі: ,Кенесары Қасымұлы 
Абылай хан қай жылдары хандық құрды? ,1771-1781 жж 
Абылай хан қатты көңіл бөлген шаруашылық саласы: ,Егін шаруашылығы 
Абылай хан құқығын шектеген кеңес:,билер кеңесі
Абылай хан операсының авторы,Е Рахмадиев 
Абылай хан Орта Азия елдеріне шабуыл жасады:,XVІІІ ғ 70 жылдары
Абылай хан тұсында Қытаймен ара қашықтықтағы иеліктерді сақтап қалу мүмкіндігі: ,Дипломатиялық жолмен 
XVІІІ ғ 70 жылдары қазақ әскерлері тарапынан кімдерге күйрете сокқы берілді?,Ташкент күшбегіне 
Абылай ханға ақылшы-кеңесші болған жырау:,Бұқар
Абылай ханға жақын болған оны жырға қосқан жыраулар: ,"Тәтіқара, Үмбетей"
Абылай ханға Ресей мен Қытайға бағынбаған « тәуелсіз билеуші » деп баға берген ғалым: ,А Левшин
Абылай ханнан кейін Орта жүздің ханы кім болды?,Уәли 
Абылай ханның 1761 жылы ағаштан үй тұрғызу үшін бірнеше ұста және 200-300 пұт астық жіберуді сұрап хат жазды: ,ІІ Екатеринаға 
Абылай ханның азан шақырған есімі: ,Әбілмансұр 
Абылай ханның азан шақырып қойған есімі: ,Әбілмансұр 
Абылай ханның атасы билік құрған қала: ,Түркістан
Абылай ханның атасының есімі:,Абылай 
Абылай ханның атынан Жетісуда билік жүргізген сұлтан: ,Сүйік
Абылай ханның бала кезіндегі лақап аты:,«Сабалақ»
Абылай ханның Қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер:,Тарбағатай 
Абылай ханның Қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер: ,Алтай сеңгірі 
Абылай ханның Қытаймен жүргізген келіссөз нәтижесінде қайтарылған жер: ,Зайсан көлінің шығысы
Абылай ханның өмір сүрген жылдары: ,1711- 1781ж ж
Абылай ханның шын есімі:,Әбілмансұр 
Абылай ханның ішкі және сыртқы саясатына әсер еткен дарынды адам:,Бұқар жырау
Абылай ханның ішкі және сыртқы саясатына мейлінше әсер еткен дарынды ақын-жырау – ,Бұқар жырау 
Абылайға жыр арнаған – ,Бұхар жырау 
Абылайға өзінің жырларын арнаған атақты жырау: ,Бұқар жырау
Абылайдан пана сұраған жоңғар билеушісі – ,Әмірсана
Абылайдың атасы «Қанішер» Абылай билік құрған қала ,Түркістан
Абылайдың атасы билеуші болған қала – ,Түркістан
Абылайдың атасы билік құрған қала – ,Түркістан
Абылайдың бас мирасқоры:,Уәли
Абылайдың жоңғар тұтқынында болған жыл – ,1741
Абылайдың кеңесшісі болған атақты ақын: ,Бұхар жырау 
"Абылайдың керемет қасиеттерін жырлап,Орта Жүздегі оқиғаларға белсене қатысқан, шығармаларына батырлар ерлігін арқау еткен XVІІІ ғасырдың ІІ жартысындағы танымал ақын: ",Тәтіқара
"Абылайдың қолдауына ие болып Орта жүзді паналаған, жоңғар тағынан дәмелілердің бірі: ",Әмірсана
Абылайдың қыстақтары орналасты – ,Ертіс өңірінде
Абылайдың Қытай билігін мойындаған жылдар: ,1757-1760 жылдары
Абылайдың Қытай билігін мойындаған жылы:,1757 ж 
Абылайдың мирасқоры – ,Уәли сұлтан 
Абылайдың мұрагері кім болды? ,Уәли 
Абылайдың өте бір ұнатқан ақыны: ,Тәтіқара 
Абылайдың халық алдында беделінің өсуіне ықпал етті – ,жоңғарлармен күресте басшылық жасауы
Абыралы ауданында барлық шаруашылықтың бірден —,70% ы ұжымдастырылды
Аварларды Букрат тауы етегінде екінші рет жеңген түрік қағаны:,Қара-Еске
Аварларды талқандаған түрік қағандары:,"Бумын, Мұқан"
"Авторларының бірі Е Бекмаханов болған ""Қазақ ССР тарихы"" атты күрделі еңбек қашан жарық көрді?",1943 ж 
"Авторы Е Бекмаханов болған 'Қазақ КСР тарихы"" жарык көрді? ",1943 ж
Аға сұлтандар сайланды :,3 жылға
"Аға сұлтандарды тек сұлтандар ғана сайлап, оларға ресейлік майор шені, 10 жылдан кейін берілді:",дворяндық атақ
"Ағам да, апам да жоқ, сондықтан менің өзімді майданға жіберуді өтінемін"" деген сөздер кімдікі?",М Мәметова 
Ағарту ісін насихаттаған журнал — ,«Айқап» 
Ағаш бұтағын бір-біріне үйкеп немесе шақпақ тасты ұрып ұшқын шығарып от алу– ,орта палеолит
Ағылшын кәсіпкері Лесли Урквартқа Риддер мен Екібастұзды концессияға беру туралы келісім шарт жасалды В И Лениннің нұсқауымен ол қаралды ,– Қолдау таппады 
Адай елі 2 жылдың ішінде төлеуге тиіс еді:,160 мың сом салық
"Адай, Түрмеден қашқан күйлерінің авторы: ",Құрманғазы Сағырбайұлы
Адайлықтар соғыс шығыны ретінде ,– 90000 қой өткізуге міндеттенді 
Адам алғашқы құралды жасады – ,тастан 
Адам балық аулау құралдары мен қайықты ойлап тапқан дәуір:,Мезолит 
Адам Беловский Семей облысында шұғылданды:,Өскемен уезінің геологиялық картасын жасаумен
Адам бойындағы ізгі қасиеттердің көмескіленуі мәселесін көтерген М Шахановтың кітабы -,«Өркениеттің адасуы» 
Адам тарихы 4 археологиялық дәуірге бөлінеді Кандай дәуір бұл кезеңге кірмейді?,Таулы және далалы кеңістіктерді игеру дәуірі 
Адам шақпақ тасты үйкеу арқылы от жағу тәсілін –,Орта палеолит меңгерді
Адамдар алғаш тасты жылтыратып тегістеу әдісін үйренді:,Неолитте
Адамдар керамика жасауды үйренді – ,неолитте 
Адамдар мал шаруашылығымен және егіншілікпен айналыса бастады – ,неолиттен 
Адамдар пышак тіліктер жасауды қай кезеңде үйренді? ,Кейінгі палеолитте 
Адамдар саз балшықтан қыш ыдыс жасай бастауды үйренді – ,неолитте
Адамдардың азық-түлікті өндіре бастаған кезеңі: ,Неолит
Адамдардың дән үккішті ойлап тапқан кезеңі? ,Неолитте
"Адамдардың маймыл, жануарлардан айырмашылығы: ",Еңбек құралдарын жасай білу 
"Адамдардың шағын топтары мен жекелеген аңшыларға аң аулау,нәтижесінде мүмкін болды:",Садақ пен жебені ойлап табу 
Адамдардың шығу тегін белгілі бір аңмен байланыстыратын наным-сенім: ,Тотемизм 
Адамдардың шығу тегін жануарлармен байланыстырудың ғылыми атауы:,Тотемизм 
Адамзат баласының бірінші қолданған металы: ,Мыс
Адамзат баласының металдан жасала бастаған құралдарды игере бастауы: ,Мыстытас-энеолит 
Адамзат баласының металдан жасалған құралдарды игере бастаған дәуір:,Энеолит 
Адамзат дамуының «епті адамнан» кейін пайда болды:,Тік жүретін адам
Адамзат дамуының «епті адамнан» кейінгі келесі даму кезеңі?,Тік жүретін адам
Адамзат дамуының епті адамнан кейінгі даму кезеңі?,Тік жүретін адам
Адамзат тарихы дамуының ең алғашқы кезеңі?,Тас дәуірі
Адамзат тарихындағы ең ұзақ уақытқа созылған Ежелгі тас дәуірі: ,Палеолит 
Адамзаттың өткен тарихын заттай мұралар арқылы зерттейтін ғылым – ,археология 
Адамның ғарышты игеру жетістігі мемлекет экономикасын неге бағыттады? ,Ғылыми индустриялық өндіріске 
Адамның қоныстануына ең қолайлы жер – ,Қаратау жотасы 
Адамның рухани мәдениетінің дамуы туралы мағлұмат береді: ,өнердің пайда болуы 
Адамның сыртқы биологиялық қасиеттерін зерттейтін ғылым: ,Антропология
Адамның сыртқы биологиялық қасиеттерін зерттейтін ғылым-,Антропология 
Адамның сыртқы пішінін зерттейтін ғылым: ,Антропология 
Адамның тұңғыш ғарышқа ұшуына байланысты шығарған О Сүлейменовтың поэмасы:,"Адамға табын, Жер енді"
"Адамның шағу тегін жануарлар, өсімдіктер немесе табиғат құбылыстарымен байланыстыру: ",Тотемизм
Адамның шағын тобы мен жекелеген аңшыға аң аулау мүмкін болды – ,садақ пен жебені ойлап табу нәтижесінде 
Адамның шығу тегін белгілі бір аңмен байланыстыру: ,Тотем
Адамның шыққан отаны? ,Африка 
Азамат соғысы болған жылдар?,1918-1920 жж 
Азамат соғысы – ол: ,Мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
Азамат соғысы – ол:,Мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
Азамат соғысы – ол:,Мемлекет ішінде билік үшін ел азаматтарының өзара соғысы 
Азамат соғысы барысында Қазақстанда 1919 жылы құрылды: ,Казревком
Азамат соғысы басталған кезде ақ гвардияшыларға көмек ретінде Иран мен Каспий өңіріне енген әскер: ,Ағылшын әскерлері 
Азамат соғысы болған жылдар?, 1918-1920 жылдар
Азамат соғысы жылдары (1918-1918) Түркістан мен Қазақстанда Кеңестер құрған бөлімдер:,«мұсылман бөлімдері»
Азамат соғысы жылдары бір өзі ғана мемлекетке 6 млн пұтқа жуық астық тапсырған уезд: ,Қостанай
Азамат соғысы жылдары жергілікті бюджетті жойған экономикалық саясат: ,Әскери коммунизм
Азамат соғысы жылдары Кеңарал болысында партизан жұмысын ұйымдастырушы – ,Ө Ыбыраев 
Азамат соғысы жылдары Лениннің тапсыруымен Ақтөбе майданына қару жеткізу экспедициясын басқарған кім? ,Ә Жангелдин 
Азамат соғысы жылдары мемлекетке 6 млн пұт астық тапсырған уезд – ,Қостанай 
Азамат соғысы жылдарына (1918-1920 жж ) қатысты ұғым:,«Әскери коммунизм»
Азамат соғысы жылдарында ақ гвардияшылармен бір топта болды:,Алашорда 
Азамат соғысы жылдарында Атбасар уезіндегі партизан қозғалысының ірі орталығы болған қоныс:,"Мариинка,Маринск селосы "
Азамат соғысы жылдарында әскер бөлімдерін құру ісіне белсене қатысқан комиссарлардың бірі: ,Ә Жангелдин
Азамат соғысы жылдарында әскери коммунизм саясатының мәні ?,Азық-түлік салғырты 
Азамат соғысы жылдарында бір өзі ғана мемлекетке 6 млн пұтқа жуық астық тапсырды:,"Қостанай уезі, Ақмола, Семей облыстары"
Азамат соғысы жылдарында жергілікті халықтан құралған әскери бөлімдер:,«Мұсылман бөлімдері»
Азамат соғысы жылдарында жергілікті халықтан құралған әскери бөлімдер:,«Мұсылман бөлімдері»
Азамат соғысы жылдарында Кеңарал болысында астыртын жұмысты 1916ж көтеріліс жетекшісі:,Ыбыраев басқарды 
"Азамат соғысы жылдарында Кеңарал болысында партизан жұмысын ұйымдастырушы,1916жылғы ұлт-азаттық қозғалысқа қатысқан тұлға:",Ө Ыбыраев 
Азамат соғысы жылдарында қаза тапқандар саны: ,8 млн адам 
Азамат соғысы жылдарында Қазақстан жерінде әскери бөлім құру туралы шешім қабылданды, – ротадан ірі емес 
Азамат соғысы жылдарында қандай темір жол желісі Орал-Ембі мұнайлы аймағын Орталық Ресеймен байланыстырды?,Александров-Гай- Ембі 
Азамат соғысы жылдарында Ой болысында партизан жұмысын ұйымдастырушы: ,Кәкімжан Саркин
Азамат соғысы жылдарында Орал-Ембі мұнайлы аймағын Орталық Ресеймен байланыстырды?,Александров-Гай-Ембі 
Азамат соғысы жылдарында Ө Ыбыраев астыртын жұмысты үйымдастырды:,Кеңарал болысында
Азамат соғысы жылдарында Солтүстік Жетісуда ерекше қаталдық көрсеткен атаман?,Б Анненков 
Азамат соғысы жылдарында Шығыс майданының Оңтүстік тобын басқарған:,М Фрунзе
Азамат соғысы кезеңінде қалыптасқан экономикалық және саяси жүйе – ,Әскери коммунизм 
Азамат соғысы кезінде 1918 ж маусымнан 1919 ж қазан айы аралығында Солтүстік Жетісуда орын алған оқиға: ,Черкасск қорғанысы
Азамат соғысы кезінде дала өлкесінің төтенше комиссары:,Ә Жангелдин
Азамат соғысы кезінде зорлыққа негізделген азық-түлік саясаты:,Әскери коммунизм
Азамат соғысы кезінде қазақ атты әскер бригадасы саяси бөлімінің меңгерушісі:,Б Қаратаев
Азамат соғысы кезінде қалыптасқан экономикалық және саяси жүйе:,Әскери коммунизм
Азамат соғысы кезінде мұнай өндіру қысқарды:,4 есеге қарғанды көмірін өндіру 5 есеге
Азамат соғысы кезінде Ойболысында партизан қозғалысын басқарды: ,Кәкімжан Саркин 
Азамат соғысы кезінде Солтүстік Жетісу жерінде ерекше қаталдық көрсеткен атаман:,Б Анненков
Азамат соғысы кезінде Түркістан мен Қазақстанда құрылған ұлттық әсери бөлімдер :,«Мұсылман бөлімдері» 
Азамат соғысы кезіндегі Ақмола атқару комитетінің мүшесі –,А Асылбеков 
Азамат соғысы кезіндегі Торғай уезінің әскери комиссары:,А Иманов
Азамат соғысына (1918-1920 жж) қатысты термин:,Әскери коммунизм
Азамат соғысына (1918-1920 жж) қатысты термин: ,Әскери коммунизм
Азамат соғысынан кейін Қазақстанда өнеркәсіпті қалпына келтіру аяқталды – ,1927- 1928 ж ж 
Азамат соғысында (1918-1920 жж ) бүлік шығарған: ,чехословак корпусы
Азамат соғысында (1918-1920 жж ) қаза тапқан адамдар саны шамамен: ,8 млн
Азамат соғысының барысында қай кезде азық- түлік салғырты енгізілді? ,1919 ж қаңтар 
Азамат соғысының бас кезінде ұлттық әскери құрамалардың деңгейі неден аспау керек еді? ,Роталық звенодан 
Азамат соғысының кескілескен қырғынында қанша адам каза тапты: ,8 млн 
Азамат соғысының нәтижесінде 1913 жылмен салыстырғанда – ,көмір өндіру 5 есе қысқарды 
Азамат соғысының нәтижесінде 1913 жылмен салыстырғанда – ,мұнай өндіру 4 есе қысқарды 
Азамат соғысының нәтижесінде 1913 жылмен салыстырғанда – ,мыс өндіру тоқтап қалды 
Азамат соғысы – ол: ,1 мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
Азат азаматтық қозғалысы құрылды: ,1990 жылдың аяғында
Азат азаматтық қозғалысын ұйымдастырушылардың көкейкесті арманы – ,Қазақстанның егеменді ел болуы 
Азат азаматтық қозғалысының алдына қойған мақсаты: ,Қазақстанның егемендігін алу
Азия комитеті қашан құрылды —,ХІХ ғ 20-30 жылдарында
Азиялық училище ашылды:,1789 жылы
Азық салғыртын азық салығымен алмастыру туралы шешім қабылданды ,1921 жылы наурыз 
Азық-түлік бағдарламасын қабылдаған КОКП ОК-нің мамыр Пленумы болған жыл – ,1982 ж 
Азық-түлік салғырты енгізілді – ,1919 жылы қаңтарда
Айбас сағасындағы Орталық Қазақстан Андронов мәдениетіне жататын Алакөл қабірінен табылған:,алтын білезік
Айша бибі және Қарахан кесенелері орналасқан облыс: ,Жамбыл 
Айшуақ бастаған Хан кеңесін құрудағы Орынбор әкімшілігінің мақсаты: ,Сырымды өзіне тарту
Айшуақты Кіші жүздің ханы етіп сайлаған жыл: ,1797 ж 
Акцияларын сатып алған кәсіпорын: ,Спасск мыс кеніші
Ақ гвардияшыларға көмек ретінде Иран мен Каспий өңіріне енген әскер – ,Ағылшын әскері 
Ақ жалды жүйрік аттардың иелері деп аталған тайпа: ,Аргиппей
Ақ жалды жүйрік аттың иелері деп кімдерді атады: ,аргиппейлер тайпасы (латын тілінде)
Ақ легионерлер Петропавлды басып алды: ,1918 жылы мамырдың соңында
Ақ матамен сауда жасайтын орындары болған қалалар?,"Испиджаб, Ферғана"
Ақ Орда XІV ғ 60-70 жж кім билік еткен тұста айтарлықтай күшейді? ,Орыс хан 
Ақ Орда Алтын Ордадан біржола бөліне бастайды – ,XІV ғасырдың екінші ширегі 
Ақ Орда Алтын Ордадан біржола бөліне бастайды – ,XІV ғасырдың ІІ жартысы 
Ақ Орда Алтын Ордадан мүлдем оқшауланды: ,Ұрыс хан кезінде
Ақ Орда Алтын Орданың құрамынан дербес хандық болып қай хан тұсында бөлініп шықты? ,Ерзен
Ақ Орда астанасы: ,Сығанақ 
Ақ Орда билеушілерінен Сауран түбінде 1374- 1375 жылдары жеңіліске ұшыраған: ,Тоқтамыс 
Ақ Орда билеушісі Барақ ханның баласы: ,Жәнібек
Ақ Орда билеушісі Барақ ханның баласы: ,Жәнібек
Ақ Орда билеушісі болған Барақтың мақсаты:,Сырдария бойындағы қалаларды қайтару
Ақ Орда кезеңі: ,XІІІ – XV ғасырдың басы
Ақ Орда қанша жылға жуық өмір сүрді – ,240 жыл
Ақ Орда мемлекеті өмір сүруін тоқтатты: ,XV ғ басы
Ақ Орда мемлекетін әлсіреткен –,Темір шапқыншылығы 
Ақ Орда мемлекетін Темір шапқыншылығы – ,әлсіретті
Ақ Орда мемлекетінде қалалық мәдениет қай ханның тұсында дамыды: ,Ерзен хан
Ақ Орда мемлекетінің астанасы: ,Сығанақ 
Ақ Орда мемлекетінің өмір сүруін тоқтатты: ,XV ғ басы
Ақ орда мен Моғолстан одағы бағытталды? ,Темір мемлекетіне қарсы 
Ақ Орда орнына келкен мемлекет: ,Әбілқайыр хандығы
Ақ Орда тағының мұрагерлері: ,Ұрыс пен Барақ ханның ұрпақтары 
Ақ Орда тағының мұрагерлері: ,Ұрыс пен Барақ ханның ұрпақтары 
Ақ Орда тайпаларында басым болған тайпа: ,Қыпшақтар
Ақ Орда тәуелсіз хандық болып қай ханның тұсында жарияланды? ,Ерзен хан
Ақ Орда тұрғындарының атауы: ,"«Өзбек», «қазақ-өзбек»"
Ақ Орда хандары: ,"Ерзен, Орда Ежен, Ұрұс "
Ақ Орда хандығы қай ұлыстың территориясында болды? ,Жошы ұлысы 
Ақ Орда хандығының орнын басқан хандық: ,Әбілхайыр хандығы
Ақ Орда ханы Темір Мәлік пен Тоқтамыстың арасында 1377 жылы шайқас өткен жер: ,Сауран 
"Ақ Орда ыдырап, орнына Әбілхайыр хандығы құрылды: ",XV ғ басы
"Ақ Орда, Әбілхайыр хандығы, моғолстанда түрік тайпаларының басшыларының атауы: ",Әмір
Ақ Ордада Барақ хан билік құрған жылдар – ,1423-1428 жж 
Ақ Ордада қалалық мәдениеттің дами түсуі: ,Ерзен хан кезінде
Ақ Ордада оғлан атағына кім ие болды – ,Ұлыс билеушілері
"Ақ Ордадағы, Моғолстандағы хандық өкіметте әскери қызметкерлерге берілген атау: ",«бек»
Ақ Орданы Ақсақ Темір баскыншылық әрекеттерінен қорғаудың негізгі ауыртпалығы:,Орыс ханға түсті
Ақ Орданы әлсіреткен – ,Ақсақ Темір жорықтары
Ақ Орданы әлсіреткен жағдай: ,Ақсақ Темір жорықтары 
Ақ Орданы әлсіреткен қандай жағдай болды? ,Ақсақ Темір жорықтары 
Ақ Орданың Алтын Ордадан біржола бөліне бастаған уақыты: ,XІV ғ ІІ ширегі
Ақ Орданың астанасы –,Сығанақ 
Ақ Орданың аумағы Жошының осы балаларының иелігін қамтыды: ,Орда Ежен мен Шайбани ханның
Ақ Орданың аумағы: ,"Жайық өзенінен Батыс Сібір ойпатына дейінгі, Сырдарияның орта және төменгі ағысы"
Ақ Орданың аумағын қамтыған жерлер –,Орда- Ежен мен Шайбан аудандарының жері 
Ақ Орданың билеушісі болған Тоқтамыстың әкесі: ,Түй-Қожа
