Question,A,B,C,D,E
17. Найдите предложение с фразовым глаголом:  ,A) Put it on the table.,B) Don’t put your legs on the sofa.,C) Put the book in the bookcase.,D) I don’t put any sugar into my tea.,E) It was cold so he put on his coat. 
18. Дополните фразу: To go to the lectures means ... them. ,A) to look,B) to come from,C) to learn,D) to write,E) to attend
19. Выразите одним словом: A person who travels by plane or by ship is a ... ,A) stranger.,B) businessman.,C) seller.,D) customer.,E) passenger. 
20. Найдите глагол от прилагательного black: ,A) To blackise.,B) To blacket.,C) To blackish.,D) To blacken.,E) To blacked. 
21. Выберите правильный вариант множественного числа существительного: Boy-friend ,A) Boys-friends.,B) Boies-friend.,C) Boy-friendes.,D) Boys-friend.,E) Boy-friends. 
22. Выберите верный вариант отрицания к данному предложению: He used to do everything his mother said. ,A) He didn’t use to do everything his mother said.,B) He didn’t use do everything his mother said.,C) He not used to do everything his mother said.,D) He used to not do everything his mother said.,E) He didn’t used to do everything his mother said. 
23. Вставьте глагол в соответствующей форме:  Tell her what you would like her (do). ,A) to do.,B) to be doing.,C) doing.,D) do.,E) to have do. 
"24. Прочтите текст и ответьте на вопрос после текста: The famous composer Rakhmaninov was also a very good pianist. When he was a small boy he was asked to play at a home party at their friends’ place. Though he was only eight he was quite experienced in playing the piano and did it well. At that concert he was to play one of Beethoven’s sonatas. It must be mentioned that there are several very long intervals in that sonata. In each of these intervals the boy took his hands off the keyboard and waited. During one of these intervals the old mother of the hostess came up to him and said, «My boy, why don’t you play anything that you know very well?»  Why did the boy stop playing several times?  ",A) because he didn’t remember the sonata,B) because he was mistaken,C) because the sonata had some long intervals,D) because he was tired,E) because the sonata had some short intervals
25. Найдите правильный вариант глагола: His only bad habit is that he … too loudly. ,A) is talking,B) was talking,C) talked,D) talk,E) talks
26. Найдите правильный вариант глагола. She fell ill because she … too hard. ,A) working,B) had working,C) has worked,D) had worked,E) works
27. Укажите правильный вариант сказуемого: He said he … to London in May. ,A) Will come.,B) Would come.,C) Shall come.,D) Came.,E) Should come. 
28. Выберите правильный перевод предложения в страдательном залоге: Фильм был снят в этом году. ,A) The film has made this year.,B) The film was make this year.,C) The film has been made this year.,D) The film have been made this year.,E) The film have made this year. 
29. Глагол to have употреблен в качестве модального в предложении: ,A) I had much money yesterday.,B) They had no time to finish their work.,C) We did not have a rest the whole day.,D) Do you have to go to the market to buy fish or meat?,E) What did you have for dinner? 
30. Выберите правильный вариант ответа:  What is the name of the oldest and best known public school for boys in Great Britain? ,A) Norwich,B) Oxford ,C) Eton,D) Cambridge,E) Bath
 1. Синонимом слова “Smart” является: ,A) Dirty.,B) Tall.,C) Bright.,D) Coward.,E) Bald. 
 2. Выберите правильное слово I don`t like …. music. ,A) those,B) an,C) these,D) –,E) a
 3. Дополните предложение: The man standing at the window is … father. ,A) Pavel’s and Lena,B) Pavel and Lena,C) Pavel’s and Lena’s,D) Pavel and Lena’s,E) Pavels and Lenas 
 4. Определите правильный вариант предложения со сказуемым  в Present Simple Tense. ,A) My uncle has visited Astana this autumn.,B) I went to the shop yesterday.,C) It is very hot in summer.,D) My parents will return home late in the evening.,E) Students are writing a test. 
 5. Выберите правильную  форму глагола . There … some people in the park. ,A) isn`t,B) are,C) aren`t,D) is,E) am 
" 6. Выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",A) Heavy.,B) Teacher.,C) Meat.,D) Clean.,E) Beat. 
 7. Обобщающим для данной группы слов является слово: ,A) Water.,B) Sea.,C) Ocean.,D) River. ,E) Lake. 
" 8. Найдите глагол, образованный при помощи префикса: ",A) reconstruct,B) locate,C) realize,D) electrify,E) graduate
 9. Выберите верное местоимение: He has the habit of talking to … . ,A) herself,B) yourself,C) myself,D) ourselves,E) himself 
"10. Дополните предложение:  There is ... snow in the street, isn’t there? ",A) anything,B) much,C) many,D) something,E) nothing
11. Выберите правильный вариант: Could you tell me … has happened? ,A) where,B) what,C) which,D) who,E) why
12. Выберите правильную  форму глагола “to be”: It ... a nice fairy-tale. ,A) Am.,B) Been.,C) Are.,D) Is.,E) Be. 
13. Найдите правильный вариант перевода:      Он не собирается идти домой. ,A) He isn’t  going home now,B) He is going home now,C) He’ll go home soon,D) He is going to go home,E) He isn’t going  to go home
14. Определите функцию герундия в следующем предложении: The meeting was planned for discussing and creating.  ,A) определение,B) подлежащее,C) сказуемое,D) обстоятельство цели,E) дополнение
15. Выберите нужный фразовый глагол: Please … the light. This room is dark. ,A) Turn right.,B) Turn left.,C) Turn off.,D) Turn on.,E) Turn. 
16. Дополните предложение: She ... from her illness. ,A) is fond of,B) likes,C) suffers,D) enjoys,E) is interesting
17. Дайте определение слову neighbour: ,A) A person who is fond of reading.,B) A person who is interested in sport.,C) A person who lives near you.,D) A person whom you like.,E) A person who studies at the institute. 
18. Дополните пословицу: A watched … never boils. ,A) Frying-pan.,B) Pot.,C) Pan.,D) Kettle.,E) Sauce-pan. 
"19. Выберите слово с суффиксом, обозначающим процесс или результат действия: ",A) Reader.,B) Writer.,C) Organization.,D) Easily.,E) Helpless. 
20. Выберите правильный вариант множественного числа существительного: Fire-place ,A) Firies-places.,B) Fires-places.,C) Fire-place.,D) Fires-place.,E) Fire-places. 
21. Выберите правильно построенное предложение: ,A) They thought I should work in the garden at that moment.,B) They thought I should be working in the garden at that moment.,C) They thought I should have worked in the garden at that moment.,D) They thought I should have been worked in the garden at that moment.,E) They thought I should worked in the garden at that moment. 
22. Найдите эквивалент: Ей следует приходить вовремя. ,A) Can she come?,B) She should come in time. ,C) She is to come.  ,D) She needn’t come.,E) She had to come in time. 
23. Поставьте предложение в отрицательную форму: Ann used to have a piano. ,A) Ann didn’t use to have a piano.,B) Ann don’t use to have a piano.,C) Ann use not to have a piano.,D) Ann doesn’t used to have a piano.,E) Ann used to haven’t a piano. 
24. Вставьте в предложение глагол в соответствующей форме: Nick used (live) alone.  ,A) having lived,B) living,C) live,D) to live,E) to be living
25. Найти правильный вариант глагола. She told me she … a bad time with her husband. ,A) was having,B) had have,C) will have,D) were having,E) has had
26. Найдите правильный вариант глагола. It was a firm that I … of. ,A) have never heard,B) never hear,C) nevers hears,D) has never heard,E) had never heard 
27. Найдите правильный вариант глагола. There must be a mistake: the hotel . . . by my wife. ,A) will pay,B) are being paid,C) have been paid,D) is paying,E) was paid
28. Выберите предложение с Participle I: ,A) Ann wasn’t offered the job.,B) The delegation answered all the questions.,C) He has gone home by that time.,D) What is this instrument used for?,E) Standing on the bridge he watched the boats. 
"29. Прочитайте текст, выберите правильный ответ на вопрос: Mark Twain once said, “When I was a boy of 14, I thought that my father was the most ignorant of all men. But when I got to be 21, I was surprised at how much the old man had learned in seven years.” What did Mark Twain think about his father? ",A) He got to be 21.,B) He was a boy of 14.,C) He knew very little.,D) He was surprised.,E) He ignored all men. 
30. Дополните предложение.  In the House of Commons the members sit … . ,A) on two sides of the hall,B) on four sides of the hall,C) on three sides and in the corner of the hall,D) on three sides of the hall,E) on two sides and in the middle of the hall
 1. Выберите предлог противоположный предлогу: up. ,A) Under.,B) On.,C) In.,D) Down.,E) At. 
" 2. Выберите слово, близкое по значению: small. ",A) Tall.,B) High.,C) Big.,D) Little.,E) Round. 
 3. Дополните предложение: … weather is fine and … sun is shining brightly today. ,A) The | the,B) - | -,C) A | a,D) The | a,E) A | the 
 4. Выберите правильное слово.   This is the … dress. ,A) ladys’,B) lady’s,C) ladies,D) lady,E) of lady 
 5. Выберите правильную  форму глагола . There… a lot of bread on the table. ,A) am,B) were,C) is ,D) weren`t,E) are 
" 6. Выберите слово, в котором выделенная буква читается отлично от других слов: ",A) Certainly.,B) Cemetery.,C) Catch.,D) Centre.,E) Celebrate. 
 7. К теме Село относится слово: ,A) Rainy.,B) Break.,C) Swimmer.,D) Supper.,E) Wheat. 
 8. Выберите правильный английский эквивалент данной пословицы: Плохая молва летит на крыльях. ,A) It never rains but it pours.,B) Appetite comes with eating.,C) Bad news travels fast.,"D) No pains, no gains.",E) Look before you leap. 
 9. Выберите правильный вариант перевода слова: Перестройка ,A) Construction.,B) Disconstruction.,C) Reconstruction.,D) Inconstruction.,E) Unconstruction. 
10. Выберите верное местоимение: Be careful! They are looking at …  . ,A) Our.,B) I.,C) We.,D) Ours.,E) Us. 
11. Выберите правильный вариант местоимения: I have … to say. ,A) anybody.,B) nothing.,C) anything.,D) nobody.,E) any. 
12. Выберите вопросительное местоимение для выделенного слова: We usually have dinner at five. ,A) With whom.,B) Where.,C) What.,D) Why.,E) What time. 
"13. Выберите правильную  форму глагола “to be”: Running ... very good for your legs, for your heart and lungs. ",A) Is.,B) Am.,C) Are.,D) Been.,E) Be. 
"14. Определите, чем является подчёркнутое слово: Thank you for coming. ",A) инфинитивов,B) причастием,C) герундием,D) модальным глаголом,E) наречием 
"15. Выберите правильный вариант фразового глагола “to put”: Don ’t forget … your scarf …, please.  ",A) to put… down.,B) to put…after.,C) to put … to.,D) to put … in.,E) to put … on. 
16. Дайте определение слову crowd: ,A) To play together.,B) A great number of people.,C) A big black bird.,D) To speak loudly.,E) To have the same interest. 
17. Образуйте прилагательное при помощи суффикса: Interest ,A) y,B) ing,C) able,D) ful,E) ly
18. Выберите правильный вариант множественного числа существительного: Our ... are ... . ,A) Children / brothers.,B) Childs / brothers.,C) Children / brother.,D) Child / brothers.,E) Childrens / brothers. 
19. Выберите правильно построенное предложение: ,A) Aliya said that she should try to come in time.,B) Aliya said that she would tries to come in time.,C) Aliya said that she shouldn’t try to come in time.,D) Aliya said that she should tries to come in time.,E) Aliya said that she would try to come in time. 
"20. Вставьте модальный глагол: …I speak to Sam, please? – Just a minute. ",A) Ought,B) Will ,C) Could,D) Must ,E) Shall
"21. Найдите предложение, имеющее значение будущего времени: ",A) They aren’t doing homework now.,B) What is he going to do?    ,C) He is playing chess now. ,D) What are they doing? ,E) I’m going home now. 
22. Выберите верный вариант общего вопроса к предложению: Nick used to be interested in collecting cactuses. ,A) Would Nick use to be interested in collecting cactuses?,B) Did Nick used to be interested in collecting cactuses?,C) Use Nick to be interested in collecting cactuses?,D) Used Nick be interested in collecting cactuses?,E) Did Nick use to be interested in collecting cactuses? 
23. Определите название формы по приведенному примеру: To be going. ,A) Indefinite Infinitive Active.,B) Participle 1.,C) Participle 2.,D) Continuous Infinitive Active.,E) Gerund. 
"24. Выберите предложение, в котором причастие употреблено в функции обстоятельства: ",A) They saw a flying bird.,B) The boy reading a book is my brother.,C) I heard her speaking on the phone.,D) While reading a book she was eating sweets.,E) The boy crying in the street is my friend. 
"25. Найдите правильный вариант глагола: In the year 2030, people … the same things as they do now. ",A) will eat,B) shall eat,C) don’t,D) ate,E) eat
26. Найдите правильный вариант глагола. I … a nightmare when the alarm-clock rang and woke me up. ,A) was having,B) has had,C) have had,D) had,E) have
"27. Найдите правильный вариант глагола. After everybody… a chance to say what they thought, we took a vote. ",A) has,B) has had,C) have had,D) had had,E) would have
28. Выберите правильную форму глагола в страдательном залоге: Tomorrow the bill (to pay). ,A) Will be paid.,B) Will paid.,C) Paid.,D) Pay.,E) Be paid. 
"29. Прочитайте текст и выполните задание после текста: One day my cousin George and I decided to visit our Granny in London. After lunch we all three decided to sail down the Thames to have a look at the old ships. But suddenly it started raining, so we had to change our plans. We decided to visit Madame Tussaud’s instead. George hadn’t been there before. It was great fun seeing all the wax figures. There were some new ones I hadn’t seen before. After an hour Granny felt a little tired and wanted to sit down and rest for a moment. George and I went to look at all the murderers in the cellar. We promised to come back in half an hour.     When we came back we saw two American tourists standing in front of Granny and taking a photo of hers. We heard one of them say, “She is sure to look like a real woman!” You should have seen their faces a moment later when Granny opened her eyes!  Выберите заголовок к тексту: ",A) A clever Granny.,B) English museums.,C) Good relatives.,D) George and his Granny.,E) A case in the museum. 
30. Выберите подходящее слово.  The Whispering Gallery is remarkable for its … . ,A) private,B) size,C) crowned,D) acoustics,E) light
 1. Выберите антоним слова: Harmful. ,A) useful.,B) lucky.,C) fan.,D) hobby.,E) foolish. 
 2. Дополните предложение: Never cross … street when … light is red. ,A)  - | a,B) the | the,C) a | a,D) - | the,E) the | a  
 3. Множественное число существительного к слову: a watch. ,A) Watchis.,B) Watchs.,C) Watchiez.,D) Watchies.,E) Watches. 
 4. Дополните предложение: It was … new coat. ,A) Victor Nicolaevich’s,B) Victor’s Nicolaevich,C) Victor Nicolaevichs,D) Victors Nicolaevich,E) Victor’s Nicolaevich’s 
 5. Выберите правильный вариант сказуемого. We … to watch a new film. ,A) Am going.,B) Was going.,C) Are going.,D) Be going.,E) Is going. 
 6. Окончание читается отлично от других в слове: ,A) Expected.,B) Waited.,C) Developed.,D) Wanted.,E) Needed. 
 7. Закончите фразеологизм: … hurts more than truth. Ничто не ранит больнее правды. ,A) Everything.,B) Nothing.,C) Something.,D) No.,E) Anything. 
" 8. Выберите верное местоимение. Hello, Tom. Have … seen Pete? ",A) You. ,B) Your.,C) He.,D) It.,E) She. 
 9. Выберите правильный вариант местоимения: There is … in the room. – Who? ,A) No.,B) Some.,C) Anything.,D) Anybody’s.,E) Somebody. 
10. Выберите вопросительное местоимение для выделенного слова: They are usually at home in the evening. ,A) Why.,B) How.,C) When.,D) Who.,E) Where. 
11. Выберите правильную  форму глагола “to be”: ... you a teacher? ,A) Are.,B) Been.,C) Is.,D) Be.,E) Am. 
12. Выберите правильно построенное предложение: ,A) He said that he return tomorrow.,B) He said that he would return tomorrow.,C) He said that he shall return tomorrow.,D) He said that he should return tomorrow.,E) He said that he will return tomorrow. 
13. Выберите правильный вариант сказуемого: There … several beautiful parks in this city. ,A) Be,B) Been,C) Is,D) Are,E) Was
14. Определите функцию инфинитива в следующем предложении: I’m sure he will be the last to leave. ,A) дополнение ,B) определение ,C) подлежащее ,D) обстоятельство,E) сказуемое 
15. Синонимом слова shut является: ,A) Turn.,B) Pick.,C) Make.,D) Close.,E) Open. 
"16. Выберите фразовый глагол со значением ""выходить"": ",A) Get alone.,B) Get out.,C) Get with.,D) Get over.,E) Get from. 
17. Переведите “To go on hikes”  ,A) Ездить на велосипеде,B) Ходить пешком,C) Ходить в поход,D) Ездить за границу,E) Ездить верхом
18. Выразите одним словом: You can cross the river over it. ,A) Economic.,B) District.,C) View.,D) Advice.,E) Bridge. 
19. Найдите правильный вариант сказуемого: He … his work tomorrow. ,A) Has finished.,B) Will finish.,C) Have finished.,D) Finishe.,E) Finished. 
20. Вставьте нужную форму глагола: You must … a letter ,A) wrote,B) written,C) to write,D) writing,E) write
21. Выберите верный вариант отрицания к данному предложению: Last summer I used to eat a lot of berries. ,A) I used not eat a lot of berries last summer.,B) I use not to eat a lot of berries last summer.,C) I didn’t used eat a lot of berries last summer.,D) I didn’t use to eat a lot of berries last summer.,E) I not use to eat a lot of berries last summer. 
22. Выберите предложение с Герундием: ,A) Your ring is very unexpected.,B) She is ringing to her best friend.,"C) Ring me up, please!",D) He rang me yesterday.,E) Thank you for ringing me up! 
23. Выберите верное причастие: A ... fridge ,A) Boughting.,B) Bought.,C) Buying.,D) Boughted.,E) Buyed. 
"24. Прочитайте текст, выберите правильный ответ на вопрос: Jane came home after her first day at school. “Well, dear”, asked her mother, “what did they teach you?” “Not much,” answered the child. “I have to go again.” What did her mother ask her? ",A) She asked her whether the teacher liked Jane.,B) She asked what the teachers had looked like.,C) She asked what they had taught Jane.,D) She asked her whether she had liked her teacher.,E) She asked what they had asked Jane. 
25. Выберите значение приставки de-: ,A) взаимо-,B) внутри,C) противоположное значение,D)  сверх-,E) повтор действия
"26. Образуйте новое слово от “ to eat “, выбрав верный суффикс: ",A) y,B) ful,C) tic,D) able,E) al   
27. Найдите правильный вариант глагола. The burglars dropped a piece of paper with an address on it as they … out of the window. ,A) were climbing,B) climb,C) climbed,D) are climbing,E) have climbed
28. Найдите правильный вариант глагола. She couldn’t find the book that I … her. ,A) lend,B) lent,C) have been lending,D) had lent,E) have lent
29. Выберите правильную форму глагола в страдательном залоге: The window (to leave) open by somebody. ,A) Was leaved.,B) Has been leaved.,C) Has been left.,D) Was leave.,E) Were left. 
30. Выберите подходящее слово. From the earliest times the … of London depended upon its water-born trade. ,A) north,B) part,C) south,D) prosperity,E) circumstances 
" 1. Выберите слово, противоположное по значению: poor. ",A) Silly.,B) Wide.,C) Dull.,D) Rich.,E) Various. 
 2. Выберите правильное слово.  He was born in … small Russian town. ,A) a,B) an,C) some,D) –,E) the
 3. Выберите неисчисляемое существительное: ,A) Branch.,B) Bear.,C) Botany.,D) Bed.,E) Balcony. 
 4. Выберите притяжательную форму существительного в единственном числе. ,A) Birds’.,B) Dogs’.,C) Men’s.,D) Boys’.,E) Sister’s. 
 5. Дополните предложение: He … not going to help his mother. He was too busy with his homework. ,A) was not,B) were ,C) are,D) was,E) is not 
