question,answer
"М.Лермонтовтың, А.Пушкиннің шығармаларын және Интернационалды қазақ тіліне аударған белгілі ақын",Ж.Аймауытов
1938 жылы Ленфильм киностудиясы жасап шығарған қазақтың тұңғыш дыбысты фильмі, Амангелді
1934 жылы Құрманғазы атындағы Қазақ мемлекеттік оркестрін құрған белгілі сазгер , А.Жұбанов
1936 жылы Мәскеуде өткен қазақ өнерінің онкүндігінде КСРО халық әртісі құрметті атағына ие болған әйгілі әнші, К.Байсейітова
1936 жылғы Мәскеуде өткен қазақ өнерінің алғашқы онкүндігінде көрсетілген опера , Қыз Жібек
1930 жылдары театрлар ашылған Қазақстан қалалары," Семей, Қарағанды"
Қазақстан кино өнері бастау алатын кезең,1930 жылдары
Алматы медицина институты қай жылы ашылды ,1931 
Алматы зоотехникалық мал дәрігерлік институты қай жылы ашылды ,1929 
Орал және Қызылорда пединституттары қай жылдары ашылды ,1931 1932 
С.М. Киров атындағы Қазақ мемлекеттік университеті қай жылы ашылды ,1934
1913 жылы жарық көрген Шолпан атты жыр жинағының авторы ,М.Жұмабаев
"С.Сейфуллиннің 1916 жылғы азаттық қозғалысқа, Ақпан революциясына, Қазан төңкерісіне арнаған еңбегі ","Тар жол, тайғақ кешу (1927 жыл)"
Қыз Жібек лирикасын жазған ,Е.Брусиловский (либреттосын жазған Ғ.Мүсірепов)
"Ащы өзек, Өшпенділік романдарының авторы ",И.П.Шухов
"Пушкиннің, Лермонтовтың, Шиллердің, Ғ.Тоқайдың шығармаларын, Интернационалды қазақ тіліне аударған ",Ж.Аймауытов
Қырғыз(қазақ) халқының 1000 әні және Қазақ халқының 500 әні мен күйі деген жинақтар жариялады: ,А.Затаевич
"Қазақтың 1000 әні еңбегін ғасырлық, тіпті мыңжылдық мәдениеттің аса құнды ескерткіші деп орынды бағалады ",Б.В. Асафьев
Қызылордада ашылған ұлттық қазақ театрында қойылған алғашқы пьеса,М.Әуезов Еңлік Кебек
Ленфильм қазақтың бірінші дыбысты фильмі Амангелді кинокартинасын жасап шығарды: ,1938 ж.
Дыбызсыз фильмдер  ,"Дала әндері, Жұт, Қаратау құпиясы"
Деректі фильмдер  ,"Жайлауда, Түрксіб"
"Жамал, Атамекен суреттерінің авторы ",Қ.Телжанов
"Тауда, Киіз үй қасында суреттерінің авторы ",С.Мәмбеев
"Шопан әні, Сұхбат суреттерінің авторы ",М.Кенбаев
1960 жылдары Мәскеуде оқитын қазақ жастары құрған ұйым ,Жас тұлпар
Жас тұлпар ұлттық демократиялық бейресми ұйымының идеялық дем берушісі және басты ұйымдастырушысы ,Мұрат Әуезов
Жас тұлпар ұлттық демократиялық бейресми ұйымын құруға көмектескендер ,"А.Қадыржанов, Б. Тайжанов"
"Алғашқыда 800 студентті біріктіріп, кейіннен Ленинград, Киев, Алматы, Одесса, Рига, Павлодар, Ақмола, Шымкент қалаларында өркен жайған ансамбль ",Жас тұлпар
"1970 жылдары республикада ғана емес, әлемнің көптеген елдеріне танымал болған Жас тұлпардың ықпалымен құрылған ансамбльдер ","Гүлдер, Дос Мұқасан, Айгүл"
1960 жылдары қазақ жастары Қарағандыда құрған ұйым ,Жас қазақ
1960 жылдары қазақ жастары Семейде құрған ұйым ,Тайшұбар
Олжас Сүлейменовтың Аз и Я атты тарихи лингвистикалық талдау кітабы қай жылы жарық көрді ,1975 
1975ж. Алматыда жарық көрген Аз иЯ кітабының авторы: ,О.Сүлейменов
"О.Сүлейменовтің тауар айналымынан, кітапханалардан алынып тасталған кітабы: ",Аз и Я
 ХХғ 70 жылдарында тоталитарлық жүйенің ұлт саясатына қатысты толқу өткен қала ,Целиноград
 ХІ ғасырда Құдатғу білік еңбегі алғаш рет осы тілді жазылды ,Түрік
 ХІХ ғ 30 жылдары орыс ақыны А.С.Пушкин болған жерлер ,Орынбор Орал
 ХІХғ 80 жылдары Ор қаласында ашылған ,Мұғалімдер мектебі
 ХҮғ Әбірқайыр хандығы орналасқан аймақ ,Шығыс Дешті Қыпшақ
 ХҮІІІғ Қазақстанның солтүстік –батысында салынған бекініс ,Орынбор
 ХХғасырдың басындағы қазақтың ұлттық мемлекеттігін құру идеясын ұсынған партия ,Алаш
 1212 жылы Батыс Қарахан мемлекетінің соңғы билеушісі Османды жеңді ,Хорезм шахы Мұхаммед
 1465 1466 жылдары Қазақ хандығының құрылуы тулары жазған тарихшы ,Мұхаммед Хайдар Дулати
 1836 1838 жылдары Бөкей Ордасындағы көтеріліске қатысқан ақын ,Шернияз
 1855 жылы Верныйға 400 отбасы қоныс аударды ,Сібірден
 1856 жылы Қазалы бекінісін қоршап алған алды ,Жанқожа Нұрмұхамедұлы
" 1858 жылы Ресеймен келісімге келіп, патша билігін мойындаған көтеріліс басшысы ",Есет
 1859 жылы Ұлы жүз бен Қырғыз елінің солтүстік шекарасына тұрғызылған бекініс ,Қастек
 1860 ж полковник Циммерман бастаған орыс әскерлері басып алған бекіністер ,Тоқмақ және Пішпек
 1864 жылы Ресей әскерлері басып алған бекіністер ,"Ұзынағаш, Тоқмақ, Пішпек"
" 1867 1868 жылдардағы реформа негізінде құрамына Ақмола, Семей облыстары кірген генерал губернаторлық ",Түркістан
 1920 1930 жылдары алғашқы жоғары оқу орындары негізінен ашылған қала: ,Алматы
 1950 1960 жж іске қосылған цемент зауыты ашылды ,Семей
 1960 жылдарда титан магний комбинаты салынған қала ,Өскемен
 1991жыл 21 желтоқсанда Тәуелсіз Мемлекеттердің жаңа ұйымын құрғандары туралы хаттамаға қол қойылған қала ,Алматы
  Қай жылы Қазақстан Шанхай ынтымақтастық ұйымын құруға қатысты,1996
" Адамның шығу тегі мен дамуын, адам нәсілдерінің пайда болуы мен сыртқы биологиялық қасиеттерін зерттейтін ғылым: ",Антропология
 Ақ Орда мемлекетін әлсіреткен негізгі жағдай: ,Әмір Темірдің шапқыншылығы
 Қандай партияларының ұқсастығы 1917ж негізі қаланды,Алаш және Үш жүз 
" Алғашқы адамдар еңбек құралдарының жаңа түрлері дәнүккіш, келі, балта, т.б. ойлап тапқан уақыт ",Неолит
 Ахмет Байтұрсынов пен Мағжан Жұмабаев: ,Алаш партиясының қайраткерлері
 Ашаршылық жылдарының сұмдығын айқын ашып беретін тарихи айғақ Т.Рысқұловтың ,Сталинге хаты
 Берелден табылған №11 обадан табылды Әбзелдері алтындатылған ,16 ат қаңқасы
 Бөкей хандығына қатысты оқиғаларды хронологиялық ретімен қойыңыз: ,1) мешіттің ашылуы 2)Бөкейдің хан лауазымын алуы 3)жәрмеңке ұйымдастырылуы 4)алғашқы зайырлы мектеп ашылуы 5) Жәңгірдің хан болып жариялануы 25314
 Қандай тұрақтарының ерекшеліктері Еңбек құралдары Африкадан табылған құралдармен ұқсас,Бөріқазған және Тәңірқазған 
 Ғимаратқа сән беру үшін қолданылатын шағын көзе кірпіш атауы ,Терракота
 Қандай шығармасында қаңлылар туралы жазылған мәлімет Көптеген елдермен сауда байланысын,Жу патшасының тарихы 
 Кеңес әскерлерінің Ауғанстанға кірген жылы ,1979
 Кеңес заманында қай жерде орналасты атом сынақ алаңы,Семей мен Капустин Ядра 
 Кеңесары ханның өмір сүрген жылдары ,1802 1847жж
 Кіші жүздің елшілері Ресейдің құрамына кіру туралы өтінішті табыс ету үшін Петербургке аттанды ,1730жыл
 Қазақ хандығымен алғаш достық қарым қатынас орнатқан ел ,Ноғай Ордасы
 Қазақстан Республикасы ЕҚЫҰ ны төрағалық етті ,2010 жыл
 Қазақстан экономикасының маңызды объектілерін іске қосылу ретімен қойыңыз ,1)Теміртау металлургия комбинаты 2)Өскенмен қорғасын мырыш зауыты 3)Өзен мұнай кен орны 4)Түркістан Сібір теміржолы 4213
" Қазақстандағы этнос өкілдерін біріктіретін, этносаралық және конфессияаралық қатынастарды үйлестіруші институт ",Қазақстан халқы Ассамблеясы
 Қазақстандық теміржол желілерін салынуы боынша хронологиялық дұрыс ретін анықта: ,1)Орынбор Ташкент 2)Ақмола Қараталы 3)Түркістан –Сібір 1.3.2
" Қаңлы елі бес иелікке бөлініп, оларды басқарғандар: ",Кіші хандар
 Қарахан мемлекетін құлатты ,Хорезм мен Найман мемлекеттері
 Қарахан мемлекетінде 955 жылы билікті қолына алған хан ,Мұса
 Қарлұқтардың құрамында тоғыз тайпа болғанын жазған араб тарихшысы ,әл Марвази
 Қыпшақ хандығының сол қанатының орталығы ,Сығанақ
 Мал шаруашылығында кадрлар мәселесін шешу үшін Семей облысы: ,Комсомол –жастар бригадасын құруға шақырды
 Манғол әскерлеріне ұзақ қарсылық көрсеткен қалалар ,Сыр бойындағы қалалар
 Моңғол империясының басты заңы ,Яса (Жасақ)
 Махмуд Қашқари өмір сүрген кезең ,ХІғ
" Мыс тас дәуірінде қоғамда пайда болған ірі өзгерістер еңбек бөлінісі қалыптасып, ",аталық ру орнай бастады
 Орталық Қазақстанда Батпақ тұрағының ерекшелігі ,300 ге таяу тас құралдар табылған
 Сақ қоғамында айрықша бас киімі мен тостағыны танымал белгісі болған топ мүшелері: ,Абыздар
 Сармат қоғамының сипатын анықтаңыз ,әскери демократиялық
 Сарматтар дәуірі қамтитын уақыт ,бзб ҮІІІ бз Ү ғасырларда
 Таза көшпелі тұрмыс қалыптасқан аймақ ,Батыс және Орталық Қазақстан
 Тарихи оқиғаларды басталу уақыты бойынша ретімен қойыңыз: ,1)Әскери коммунизм саясаты 2)Жаңа экономикалық саясат 3)Өнеркәсіпті индустрияландыру 4)Тың және тыңайған жерлерді игерудің басталуы 1234
 Тасмола мәдениетінің басты ерекшелігі ,Екі жерлеу орынан тұрады
 Тәуекел ханның беделін және күш қуатын арттырған жеңіс: ,Ташкент қаласының түбіндегі Абдаллах ханды талқандауы
 Тегістегіш жоңғыштар кездесетін неолиттік Қараүңгір тұрағы табылған аймақ ,Оңтүстік Қазақстан
 Түргеш қағатанының негізін қалаған қаған ,Сұлу
 Үйсіндердің билеушісінің лауазымы ,Күнби
 Үйсіндердің ордасы Қызыл Аңғар орналасқан жер. ,Ыстық көл мен Іле өзенінің
 Шыңғыс ханның керейлерді басып алған жылы ,1203ж
 Энеолит дәуірінің хронологиясы ,3000 1800 жыл
❶. Қазақ-жоңғар арасындағы ірі шайқастар:,"І718 жылғы Аякөз өзені бойындағы шайқас,1730 жылғы Аңыракай шайқасы, 1726 жылғы Бұланты шайкасы."
❷. Аңырақай шайқасынан кейiнгi жеңiсте казақ жасағы қолайлы жағдайды пайдалана алмауының себебi,тақ үшiн Шыңғыс ұрпағының таласуы.
❸. Атлах шайқасынан кейін, Қытайлар Жетісудан біржолата кетті.
❹. Атлах шайқасында қарлұқтар:,қытайға қарсы арабтарды жақтады
❺. Атлах шайқасының үлкен тарихи маңызы болды:,Қытай әскерлері Жетісу жерін тастап кетуге мәжбүр болды
❻. Әмір Темір мен Тоқтамыс арасында 1391 ж 18 маусымда өткен шайқас,Құндызша
❼. Б.з.б. 490 жылы сақтар парсы әскерінің кұрамында қарсы шайқасты:,Гректерге
"❽. б.з.б. 480 ж. сақтар парсылармен қосылып, гректерге қарсы соғысқан шайқас:",Фермопиль
"❾. Б.з.д. 490 ж. Марафон шайқасында сақтар кімдермен одактасып, кімдерге қарсы соғысты?","Парсылармен одақтасып, гректерге қарсы соғысты."
❿. Бөкей Ордасындағы көтеріліс кезіндегі ірі шайқастар,"Тастобе, Айбұлақ шайқастары "
⓫. Бұланты бойындағы шайқаста қанша жоңғар сарбазы өлді:,10 000
⓬. Бұланты өзенінің бойында жоңғарларға соққы берілген шайқас, Қалмаққырылған
⓭. Дүниежүзілік соғыста түбегейлі бетбұрысқа шешуші үлес қосқан Еділдегі шайқас бұл:,Сталинград шайқасы.
⓮. Екінші дүниежүзілік соғыста Қызыл Армия катарында шайқасқан Қазақстандық жауынгерлер саны?,"1 млн, 200 мың қазақстандық."
⓯. Жәңгір хан 600 жауынгерімен жоңғардың 50 мың жауынгеріне қарсы тұрған шайқас:,Орбұлақ.
⓰. Жәңгір ханның санаулы сарбаздары Жоңғардың 50 мың әскерімен шайқасқан жер,Орбұлак. 
⓱. Жетiсудың Қоқан езгiсiнен құтылуында маңызы зор болды –,Ұзынағаш түбiңдегi шайқастың. 
⓲. Жоңғар шапқыншылығы кезінде қазақ халқының рухын көтеріп ірі жеңіске жеткен шайқас,Қалмақ қырылған 
⓳. Исатай бастаған көтерiлiс жеңiлдi,Ақбұлақ шайқасында 
⓴. Кіші жүздің ханы Әбілқайыр басшылық еткен шайқас:,Аңырақай шайқасы
㉑. Қазақ халқының Жоңғар шапқыншылығы кезінде рухын көтерген шайқастар:,"Қалмақ қырылған, Аңырақай"
㉒. Қазақ халқының жоңғар шапқыншылығына қарсы ірі шайқастары:,"Бұланты, Аңырақай шайқыстары"
㉓. Қазақ халқының Сыр бойындағы қалалар үшін Шайбани ханмен болған шайқас нәтижесінде Қазақ хандығының құрамына кірген қала:,Сауран
㉔. Қазақ-Бұхар соғысында Есім хан қолданған соғыс тәсілі:,Қорғанысты шайқас
㉕. Ақтөбеде құрылған 74-жеке теңіз бригадасы негізінде ұйымдастырылған 292-атқыштар дивизиясы,Жапондарға қарсы шайқасты
㉖. Қазақстанда құрылған әскери бөлімшелердің 13 бөлігі:,Ленинград түбінде шайқасты.
㉗. Қазақстаннан соғыс майдандарында шайқасқан жазушы мен ақындар саны:,**100-ге жуық. 
㉘. Қазақтар мен жоңғарлар арасында бiр-бiрiне тиiспеу жөнiндегi келiсiм Аяқ жерiндегi шайқастан кейiн болған еді. Бұл шайқас болды,1750 ж. 
"㉙. М.Ғабдуллин, Т.Тоқтаров Кеңес Одағының батыры атағын алды", Мәскеу үшін шайқаста.
㉛. М.Мәметова құрамында шайқасқан атқыштар бригадасы:,100-ші 
㉜. Мамай мен Дмитрий Донской әскері арасында 1380 ж. болған шайқас:,Куликово. 
㉝. Мәншүк шайқасқан бригада,100-қазақ ұлттық атқыштар бригадасы.
㉞. Мәтінде сипатталған тайпаларды анықтаңыз? Олар 1141 жылы Самарқан қаласына жақын жатқан Катуан даласында болған шайқаста салжұқтар мен қарахан әскерлерін ойсырата жеңеді. Бұхара қаласын мауараннахрдың орта бөлігін толығымен жаулап алады?,Қарақытайлар
㉟. Моғолстан ханы Ілияс–Қожа мен Әмір-Темір арасында 1365 ж. өткен шайқас:,Батпақты
㊱. Москва түбіндегі шайқаста Б.Момышұлы әскери бөлімнің қандай түріне командир болды?,Батальонға
㊲. Неліктен қазақтар Аңырақай шайқасынан кейін қалыптасқан тиімді жағдайды пайдалана алмады:,Шыңғыс ұрпақтары арасындағы таққа талас
㊳. Соғақ суатында 1201 ж. наймандар мен т.б.тайпалар,Шыңғыс пен Ван (керей Тоғрұл) хандарға қарсы шайқаста жеңілді.
"㊴. Сұлтан Баймағамбетов жаудың арнайы салынған қорғаныс ұясының оқ жаудырып түрған аузын кеудесімен жауып, қаза тапты:",Ленинград үшін шайқаста.
㊵. Сыр бойындағы қалалар үшін Қазақ хандары мен Шайбани хан арасындағы шайқас созылды:,30 жылға
"㊶. Тоқтаров Кеңес Одағының Батыры атағын, қаза тапқаннан кейін алды:",Мәскеу үшін шайқаста
"㊷. Төлеген Тоқтаров Кеңес Одағының батыр атағын, қаза тапқаннан кейін алды:",Мәскеу үшін шайқаста.
㊸. Ұлы Отан соғысы жылдары Ленинград үшін шайқаста қаза тапқан Кеңес Одағының Батыры:,С.Баймағанбетов. 
㊹. Ұлы Отан соғысы жылдары Мәскеу түбіндегі шайқаста қаза тапқан Кеңес Одағының Батыры:,Т.Тоқтаров.
㊺. Ұлы Отан соғысы жылдары Мәскеу үшін шайқасты:,М.Ғабдулин
㊻. Ұлы Отан соғысында Ә.Mолдағұлова құрамында шайқасқан бригада нөмірі,54-ші 
㊼. Ұлы Отан соғысында Еділ бойындағы шайқастарға қатысқан 17-ші гвардиялық танк полкының командирі:,Т.Позолотин.
㊽. Черкасск қорғаушылары кімнің әскерлерімен шайқасты?,Анненков әскерлерімен
㊾. Шайқаста көрсеткен табандылығы мен ерлігі үшін Салинградтық деген құрметті атақ алған гвардиялық дивизия:,73-ші.
"㊿. Шапырашты Қарсай, арғын Ағынтай батырлар басшылық жасап, жоңғарларға қарсы соғысқан шайқас:",Орбұлақ шайқасы.
❶. Абылай жасақтары мен Қытай әскерлері арасында ірі шайқас өткен жер:,Тарбағатай
❷. Ақ Орда ханы Темір Мәлік пен Тоқтамыстың арасында 1377 жылы шайқас өткен жер:,Сауран
❸. Аңырақай шайқасы өткен жер,Балқаш көлінің оңтүстігі
❹. Аңырақай шайқасы өткен жер:,Итішпес Алакөл
❺. Арабтар мен қытайлар арасында 751 жылы шайқас өткен жер:,Атлах қаласы
❻. Жоңғарларды ойсырата жеңген Аңырақай шайқасы өткен жер:,Балқаш көлінің маңы
❼. Кенесары бастаған көтерілістің соңғы шайқасы өткен жер:,Қырғыз жері Кекілік сеңгір 
❽. Кенесары Қасымұлы басқарған көтерiлiсшiлердің соңғы шайқасы өткен жер,Кекілік сеңгір
❾. Кенесарының соңғы шайқасы өткен жер:,1847 жылы Майтөбеде
❿. Кенесарының соңғы шайқасы өткен жер:,Қырғыз жері
⓫. Қай шайқаста Райымбек батыр бастаған қазақ әскерлері жоңғарларға күйрете соққы берді?,Ойрантөбе жерінде.
⓬. Қалмақ қырылған шайқасынан кейін қазақ жасақтары жиналған Қазақстанның оңтүстігіндегі тау,Ордабасы
⓭. Қалмақтарды ойсырата жеңген Аңырақай шайқасы болды:,Балқаш көлі маңы.
"⓮. Орал, Торғай көтерілісшілері мен фон Штемпель басқарған жазалаушы отряд арасында шайқас өткен жер",+жамансай
⓯. Полковник Ғани Сафиуллин басқарған дивизия шайқасқан майдан,Сталинград 
"⓰. Сақтардың парсы әскерінің құрамында болып, шайқасқан жорықтары","Египет, Грекия, Марафон "
⓱. Сарысу өзенінің бойында жоңғарлармен шайқас болған жер, Бұланты 
⓲. Тоқтамыс пен Темір арасындағы 1391 ж. шайқас болды:,Құндызша деген жерде 
⓳. Тоқтамыс пен Темір арасындағы шешуші шайқас болды:,1395 ж. Терек өзені бойында 
 Қола дәуіріндегі адамдар астықты немен орған?, Орақ.
 Жетісудегі сақ жерлерін бзб 2-ші ғасырда орталық Азиядан келгенқандай тайпа мекендеген?, Үйсін
