question,answer
абай құнанба дүние келген өңір ,шыңғыстау өңірі
абай құнанба өмір сүрген жылда ,1845 1904 жж 
абай құнанба шын есімі ,ибрагим
абай құнанба жақын таныс болған поляк азатты қозға өкілі ,с гросс 
абай құнанба оның туыст жақын таныс болған поляк азатты қозға өкілд ,с гросса янушкевич
абай құнанба алғаш шығар жинағ ресми баспа шықты ,1909 жылы 
абай құнанба қазақ әдеби алатын орны ,жазба әдебиетінің негізін салушы
абай құнанба орыст ақыны а с пушкин аудар шығар ," евгений онегин "
абай құнанба шығар жинағ ресми баспа шықты ,1909 жылы 
абай құнанба шын есімі атаңыз ,ибраһим 
абай семей қандай оқу орнын оқыды ,медреседе 
абай семей медресе оқыды ,ахмет риза
абай шәкірт ішінен ең мол мұра қалды ,шәкәрім
абайды 1900 жылы жарық көрген орта жүз қазақ ордасы рулар шығу тарих туралы жазба деген еңбегі мазмұн ,семей облысы қазақтарының рулық құрамы туралы
абайды 1900 жылы статист комит басыл жария орта жүз қазақ ордасы рулар шығу тарих туралы жазба еңбегі көтер мәселе ,семей облысы қазақтарының рулық құрамын анықтау 
абайды аса дарынды шәкірт ,ш құдайбердіұлы
абайды әкесі құнанба старш болған ру ,тобықты
абайды жинағ ресми түрде баспа ,1909 ж шықты 
абайды нақыл сөздер беріл шығар ," ғақлиялар "
абайды оқуын аяқта еліне әкесі құнанба алып кету себеб ,ел билеу ісіне тарту үшін 
абайды сана сезім кеңей орыст қай интелл өкілі әсер етті ,достоевский 
абайды семей оқыған оқу орны ,ахмет риза медресесі
абайды талан шәкірт ,шәкәрім құдайбердіұлы абай семейдегі ахмет риза медресесінде оқыды
абайды туған жері ,шыңғыс тауы 
абайды ұлы әбдір ,артиллерия училишесін бітірді
абайды ұлы әбдір бітір оқу орны ,артиллерия училищесі
абайды ұлы әбдір бітір ,петербургтегі михайлов артеллеррия училишесін
абайды ұлы әбдір петерб бітір оқу орны ,артиллерия училищесі 
абайды шәкірт ішінде ең мол мұра қалды ,ш құдайбердиев
абайды шығар ресми түрде баспа шыққан жыл ,1909 ж 
абақтыда 12 серігі азапталып өлтір 1916 жылғы ұлт азатты көтер басшы бірі ,ж мәмбетов
абдаллах өлген соң тәуекел хан мәуараннахрға басып кірген жыл ,1598 ж 
абдаллах хан самар өлкес африк уәлаяты сыйға тартқ хан ,тәуекел 
абдаллах хан самар өлкес африк уәлаяты сыйға тартты ,тәуекел ханға
абдаллах ханмен ташкент маңын билеу баба сұлтан арасы билік үшін талас баста ,1579 жылы
абдаллах ханны қазақ ханы тәуекел сыйлы жер беруі себеб ,баба сұлтанға қарсы күресте қолдау білдіргені үшін 
абдаллах ханны қазақ ханын сыйға берген жері ,түркістан аймағы 
абдаллах ханны хақназар сыйға берген жері ,түркістан аймағындағы бірнеше қала 
абыз асатаяғы бөлік табыл ескер ,аралтөбе
абыздар ,ежелгі салт дәстүрлер мен әдет ғұрыптардың бұлжымай орындалуын қадағалады
абыздар таным белгі ,тостаған мен айырықша белгілері
абылай 1771 жылы хан болып сайла абылай билік құрға жылда ,1771 1881 
абылай жоңғар тұтқын түсті ,1741 жыл
абылай жоңғар шапқы қарсы күрес қатыс баста ,15 жасында
абылай жоңғар қарсы күрес белсе ат салыс ,15 жасында 
абылай қолда шаруа ,жер шаруашылығы
абылай өзара қарым қатын тату тәтті көрші саясат ұстан арқа сүйеу тырыс ел ,ресей
абылай ресей ант берген жылда ,1740 1742 ж ж
абылай сұлтан үш жыл тұтқын ұстады ,жоңғар хандығы
абылай тұсынд хан билігі енгіз өзгер ,хан билігі шексіз болды
абылай хан 1761ж ағаш үй тұрғы үшін бірнеш ұста және 200 300 пұт астық жібер сұрап хат жібер ,іі екатерина
абылай хан болып сайла ,1771 жылы 
абылай хан дамыт қолда шаруа саласы ,егіншілік
абылай хан дүние салды ,1781 жылы 
абылай хан дүние келген жыл ,1711 жылы 
абылай хан егін шаруа дамыт қолда өңір ,ертіс бойы
абылай хан ертіс пен есіл бойын көкше тарба өңірлер шаруа осы саласы дамыт қолда ,егін шаруашылығын
абылай хан жер өңдеу шаруа дамыт өңір ,ертіс бойы
абылай хан жерле қала ,түркістан 
абылай хан жерле ,түркістанда
абылай хан жоңғар тұтқын түсті ,1741 жылы
абылай хан жоңғар тұтқын түсті ,1741 жылы
абылай хан кезін шаруа қандай түрі жедел дамыды ,егін шаруашылығы 
абылай хан кезін феодалд мемлек қалпына келтір мақсат еткен ұлт азатты қозға жетек ,кенесары қасымұлы 
абылай хан қай жылда ханды құрды ,1771 1781 жж 
абылай хан қатты көңіл бөлген шаруа саласы ,егін шаруашылығы 
абылай хан құқығы шекте кеңес ,билер кеңесі
абылай хан опера автор ,е рахмадиев 
абылай хан орта азия елдер шабуыл жасады ,xvііі ғ 70 жылдары
абылай хан тұсынд қытай ара қашықтық иелік сақта қалу мүмкін ,дипломатиялық жолмен 
xvііі ғ 70 жылда қазақ әскер тарап кімдер күйре сокқы беріл ,ташкент күшбегіне 
абылай ханға ақылшы кеңес болған жырау ,бұқар
абылай ханға жақын болған оны жырға қосқан жырау ,тәтіқара үмбетей
абылай ханға ресей мен қытай бағын тәуел билеу деп баға берген ғалым ,а левшин
абылай ханнан кейін орта жүзді ханы кім болды ,уәли 
абылай ханны 1761 жылы ағашт үй тұрғы үшін бірнеш ұста және 200 300 пұт астық жібер сұрап хат жазды ,іі екатеринаға 
абылай ханны азан шақыр есімі ,әбілмансұр 
абылай ханны азан шақыр қойға есімі ,әбілмансұр 
абылай ханны атасы билік құрға қала ,түркістан
абылай ханны атасы есімі ,абылай 
абылай ханны атына жетіс билік жүргіз сұлтан ,сүйік
абылай ханны бала кезін лақап аты ," сабалақ "
абылай ханны қытай жүргіз келіс нәтиже қайта жер ,тарбағатай 
абылай ханны қытай жүргіз келіс нәтиже қайта жер ,алтай сеңгірі 
абылай ханны қытай жүргіз келіс нәтиже қайта жер ,зайсан көлінің шығысы
абылай ханны өмір сүрген жылда ,1711 1781ж ж
абылай ханны шын есімі ,әбілмансұр 
абылай ханны ішкі және сыртқ саясат әсер еткен дарынды адам ,бұқар жырау
абылай ханны ішкі және сыртқ саясат мейлінше әсер еткен дарынды ақын жырау ,бұқар жырау 
абылай жыр арнаған ,бұхар жырау 
абылай өзінің жырла арнаған атақт жырау ,бұқар жырау
абылай пана сұраған жоңғар билеу ,әмірсана
абылай атасы қанішер абылай билік құрға қала ,түркістан
абылай атасы билеу болған қала ,түркістан
абылай атасы билік құрға қала ,түркістан
абылай бас мирасқоры ,уәли
абылай жоңғар тұтқын болған жыл ,1741
абылай кеңес болған атақт ақын ,бұхар жырау 
абылай керемет қасиет жырла жүзде оқиға белсе қатыс шығар батыр ерлігі арқау еткен xvііі ғасыр іі жарты таным ақын ,тәтіқара
абылай қолда ие болып орта жүзді панала жоңғар тағын дәмел бірі ,әмірсана
абылай қыста орнал ,ертіс өңірінде
абылай қытай билігі мойын жылда ,1757 1760 жылдары
абылай қытай билігі мойын жылы ,1757 ж 
абылай мирасқоры ,уәли сұлтан 
абылай мұрагер кім болды ,уәли 
абылай өте бір ұнатқан ақыны ,тәтіқара 
абылай халық алдын бедел өсуіне ықпал етті ,жоңғарлармен күресте басшылық жасауы
абыралы аудан барлы шаруа бірде ,70 ы ұжымдастырылды
аварларды букрат тауы етегін екінш рет жеңген түрік қаған ,қара еске
аварларды талқа түрік қаған ,бумын мұқан
автор бірі е бекмаханов болған қазақ сср тарих атты күрдел еңбек қашан жарық көрді ,1943 ж 
автор е бекмаханов болған қазақ кср тарих жарык көрді ,1943 ж
аға сұлтан сайла ,3 жылға
аға сұлтан тек сұлтан ғана сайла оларға ресей майор шені 10 жылда кейін беріл ,дворяндық атақ
ағам да апам да жоқ сондықтан менің өзімді майда жібер өтінем деген сөздер кімді ,м мәметова 
ағарту ісін насихат журнал ," айқап "
ағаш бұтағын бір бірін үйкеп немесе шақпақ тасты ұрып ұшқын шығар от алу ,орта палеолит
ағылшын кәсіп лесли урквартқа риддер мен екібастұз конце беру туралы келіс шарт жасал в и ленин нұсқа ол қарал ," қолдау таппады "
адай елі 2 жылды ішінде төлеу тиіс еді ,160 мың сом салық
адай түрме қашқа күйлер автор ,құрманғазы сағырбайұлы
адайл соғыс шығын ретінде ," 90000 қой өткізуге міндеттенді "
адам алғаш құрал жасады ,тастан 
адам балық аулау құрал мен қайықты ойлап тапқан дәуір ,мезолит 
адам белов семей облыс шұғыл ,өскемен уезінің геологиялық картасын жасаумен
адам бойын ізгі қасиет көмескіленуі мәселе көтер м шаханов кітаб ," өркениеттің адасуы "
адам тарих 4 археолог дәуір бөлін кандай дәуір бұл кезең кірме ,таулы және далалы кеңістіктерді игеру дәуірі 
адам шақпақ тасты үйкеу арқылы от жағу тәсіл ,орта палеолит меңгерді
адамд алғаш тасты жылтыратып тегіс әдісі үйрен ,неолитте
адамд керамика жасау үйрен ,неолитте 
адамд мал шаруа және егінші айнал баста ,неолиттен 
адамд пышак тіліктер жасау қай кезең үйрен ,кейінгі палеолитте 
адамд саз балшық қыш ыдыс жасай баста үйрен ,неолитте
адамд азық түлік өндір баста кезең ,неолит
адамд дән үккішт ойлап тапқан кезең ,неолитте
адамд маймыл жануар айырмашылығы ,еңбек құралдарын жасай білу 
адамд шағын топта мен жекеле аңшыл аң аулау мүмкін болды ,садақ пен жебені ойлап табу 
адамд шығу тегін белгі бір аңмен байла наным сенім ,тотемизм 
адамд шығу тегін жануар байла ғылым атауы ,тотемизм 
адамзат балас бірін қолда метал ,мыс
адамзат балас метал жасал баста құрал игере баста ,мыстытас энеолит 
адамзат балас метал жасал құрал игере баста дәуір ,энеолит 
адамзат дамуы епті адамн кейін пайда болды ,тік жүретін адам
адамзат дамуы епті адамн кейін келесі даму кезең ,тік жүретін адам
адамзат дамуы епті адамн кейін даму кезең ,тік жүретін адам
адамзат тарих дамуы ең алғаш кезең ,тас дәуірі
адамзат тарих ең ұзақ уақыт созыл ежелгі тас дәуір ,палеолит 
адамзат өткен тарих затта мұрал арқылы зертте ғылым ,археология 
адамн ғарыш игеру жетіс мемлек экономи неге бағыт ,ғылыми индустриялық өндіріске 
адамн қоныс ең қолайлы жер ,қаратау жотасы 
адамн рухани мәден дамуы туралы мағлұмат береді ,өнердің пайда болуы 
адамн сыртқ биология қасиет зертте ғылым ,антропология
адамн сыртқ биология қасиет зертте ғылым ,антропология 
адамн сыртқ пішін зертте ғылым ,антропология 
адамн тұңғыш ғарыш ұшуына байла шығар о сүлеймен поэма ,адамға табын жер енді
адамн шағу тегін жануар өсімдіктер немесе табиғ құбыл байла ,тотемизм
адамн шағын тобы мен жекеле аңшыға аң аулау мүмкін болды ,садақ пен жебені ойлап табу нәтижесінде 
адамн шығу тегін белгі бір аңмен байла ,тотем
адамн шыққан отаны ,африка 
азамат соғыс болған жылда ,1918 1920 жж 
азамат соғыс ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азамат соғыс ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азамат соғыс ол ,мемлекет ішінде билік үшін ел азаматтарының өзара соғысы 
азамат соғыс барыс қазақ 1919 жылы құрыл ,казревком
азамат соғыс баста кезде ақ гварди көмек ретінде иран мен каспи өңірі енген әскер ,ағылшын әскерлері 
азамат соғыс болған жылда ," 1918 1920 жылдар"
азамат соғыс жылда 1918 1918 түркі мен қазақ кеңес құрға бөлім ," мұсылман бөлімдері "
азамат соғыс жылда бір өзі ғана мемлек 6 млн пұтқа жуық астық тапсыр уезд ,қостанай
азамат соғыс жылда жергілікті бюджет жойған экономи саясат ,әскери коммунизм
азамат соғыс жылда кеңарал болыс парти жұмыс ұйымд ,ө ыбыраев 
азамат соғыс жылда ленин тапсыр ақтөбе майда қару жеткі экспе басқа кім ,ә жангелдин 
азамат соғыс жылда мемлек 6 млн пұт астық тапсыр уезд ,қостанай 
азамат соғыс жылда 1918 1920 жж қатыс ұғым ," әскери коммунизм "
азамат соғыс жылда ақ гварди бір топта болды ,алашорда 
азамат соғыс жылда атбасар уезін парти қозға ірі орталы болған қоныс ,мариинкамаринск селосы 
азамат соғыс жылда әскер бөлім құру ісіне белсе қатыс комисс бірі ,ә жангелдин
азамат соғыс жылда әскер коммун саясат мәні ,азық түлік салғырты 
азамат соғыс жылда бір өзі ғана мемлек 6 млн пұтқа жуық астық тапсыр ,қостанай уезі ақмола семей облыстары
азамат соғыс жылда жергілікті халық құрал әскер бөлім ," мұсылман бөлімдері "
азамат соғыс жылда жергілікті халық құрал әскер бөлім ," мұсылман бөлімдері "
азамат соғыс жылда кеңарал болыс астырты жұмыс 1916ж көтер жетек ,ыбыраев басқарды 
азамат соғыс жылда кеңарал болыс парти жұмыс ұйымд ұлт азатты қозға қатыс тұлға ,ө ыбыраев 
азамат соғыс жылда қаза тапқан саны ,8 млн адам 
азамат соғыс жылда қазақ жерін әскер бөлім құру туралы шешім қабыл ," ротадан ірі емес "
азамат соғыс жылда қандай темір жол желісі орал ембі мұнай аймағы орталы ресей байла ,александров гай ембі 
азамат соғыс жылда ой болыс парти жұмыс ұйымд ,кәкімжан саркин
азамат соғыс жылда орал ембі мұнай аймағы орталы ресей байла ,александров гай ембі 
азамат соғыс жылда ө ыбыра астырты жұмыс үйымдастыр ,кеңарал болысында
азамат соғыс жылда солтүс жетіс ерекше қатал көрсе атама ,б анненков 
азамат соғыс жылда шығыс майда оңтүс тобын басқа ,м фрунзе
азамат соғыс кезең қалып экономи және саяси жүйе ,әскери коммунизм 
азамат соғыс кезін 1918 ж маусы 1919 ж қазан айы аралы солтүс жетіс орын алған оқиға ,черкасск қорғанысы
азамат соғыс кезін дала өлкес төтенше комисс ,ә жангелдин
азамат соғыс кезін зорлық негіз азық түлік саясат ,әскери коммунизм
азамат соғыс кезін қазақ атты әскер бригада саяси бөлім меңгер ,б қаратаев
азамат соғыс кезін қалып экономи және саяси жүйе ,әскери коммунизм
азамат соғыс кезін мұнай өндір қысқа ,4 есеге қарғанды көмірін өндіру 5 есеге
азамат соғыс кезін ойболысында парти қозға басқа ,кәкімжан саркин 
азамат соғыс кезін солтүс жетіс жерін ерекше қатал көрсе атама ,б анненков
азамат соғыс кезін түркі мен қазақ құрыл ұлтты әсери бөлім ," мұсылман бөлімдері "
азамат соғыс кезін ақмол атқар комит мүшес ,а асылбеков 
азамат соғыс кезін торғай уезін әскер комисс ,а иманов
азамат соғыс 1918 1920 жж қатыс термин ,әскери коммунизм
азамат соғыс 1918 1920 жж қатыс термин ,әскери коммунизм
азамат соғыс кейін қазақ өнерк қалпына келтір аяқта ,1927 1928 ж ж 
азамат соғыс 1918 1920 жж бүлік шығар ,чехословак корпусы
азамат соғыс 1918 1920 жж қаза тапқан адамд саны шамамен ,8 млн
азамат соғыс барыс қай кезде азық түлік салғы енгіз ,1919 ж қаңтар 
азамат соғыс бас кезін ұлтты әскер құрам деңгей неден аспау керек еді ,роталық звенодан 
азамат соғыс кескі қырғы қанша адам каза тапты ,8 млн 
азамат соғыс нәтиже 1913 жылмен салыс ,көмір өндіру 5 есе қысқарды 
азамат соғыс нәтиже 1913 жылмен салыс ,мұнай өндіру 4 есе қысқарды 
азамат соғыс нәтиже 1913 жылмен салыс ,мыс өндіру тоқтап қалды 
азамат соғыс ол ,1 мемлекет ішінде билік үшін ел азаматтарының өзара соғысы
азат азамат қозға құрыл ,1990 жылдың аяғында
азат азамат қозға ұйымд көкейкесті арман ,қазақстанның егеменді ел болуы 
азат азамат қозға алдын қойға мақсат ,қазақстанның егемендігін алу
азия комит қашан құрыл ,хіх ғ 20 30 жылдарында
азиялы училище ашылды ,1789 жылы
азық салғы азық салығы алмас туралы шешім қабыл ,1921 жылы наурыз 
азық түлік бағда қабыл кокп ок нің мамыр пленум болған жыл ,1982 ж 
азық түлік салғы енгіз ,1919 жылы қаңтарда
айбас сағасындағы орталы қазақ андро мәден жататын алакөл қабір табыл ,алтын білезік
айша бибі және қарахан кесене орнал облыс ,жамбыл 
айшуа баста хан кеңес құруд орынб әкімшіл мақсат ,сырымды өзіне тарту
айшуа кіші жүзді ханы етіп сайла жыл ,1797 ж 
акцияларын сатып алған кәсіп ,спасск мыс кеніші
ақ гварди көмек ретінде иран мен каспи өңірі енген әскер ,ағылшын әскері 
ақ жалды жүйрі аттар иелері деп аталған тайпа ,аргиппей
ақ жалды жүйрі аттың иелері деп кімдер атады ,аргиппейлер тайпасы латын тілінде 
ақ легионерлер петро басып алды ,1918 жылы мамырдың соңында
ақ матамен сауда жасай орынд болған қалал ,испиджаб ферғана
ақ орда xіv ғ 60 70 жж кім билік еткен тұста айтарлықтай күшей ,орыс хан 
ақ орда алтын ордада біржола бөлін баста ,xіv ғасырдың екінші ширегі 
ақ орда алтын ордада біржола бөлін баста ,xіv ғасырдың іі жартысы 
ақ орда алтын ордада мүлдем оқшауланды ,ұрыс хан кезінде
ақ орда алтын орданы құрам дербес ханды болып қай хан тұсынд бөлін шықты ,ерзен
ақ орда астан ,сығанақ 
ақ орда билеу сауран түбін 1374 1375 жылда жеңіл ұшыра ,тоқтамыс 
ақ орда билеу барақ ханны балас ,жәнібек
ақ орда билеу барақ ханны балас ,жәнібек
ақ орда билеу болған барақ мақсат ,сырдария бойындағы қалаларды қайтару
ақ орда кезең ,xііі xv ғасырдың басы
ақ орда қанша жылға жуық өмір сүрді ,240 жыл
ақ орда мемлек өмір сүруін тоқта ,xv ғ басы
ақ орда мемлек әлсіре ,темір шапқыншылығы 
ақ орда мемлек темір шапқы ,әлсіретті
ақ орда мемлек қалал мәден қай ханны тұсынд дамыды ,ерзен хан
ақ орда мемлек астан ,сығанақ 
ақ орда мемлек өмір сүруін тоқта ,xv ғ басы
ақ орда мен моғол одағы бағыт ,темір мемлекетіне қарсы 
ақ орда орнын келкен мемлек ,әбілқайыр хандығы
ақ орда тағын мұрагер ,ұрыс пен барақ ханның ұрпақтары 
ақ орда тағын мұрагер ,ұрыс пен барақ ханның ұрпақтары 
ақ орда тайпа басым болған тайпа ,қыпшақтар
ақ орда тәуел ханды болып қай ханны тұсынд жария ,ерзен хан
ақ орда тұрғы атауы ," өзбек қазақ өзбек "
ақ орда хандар ,ерзен орда ежен ұрұс 
ақ орда ханды қай ұлыст территория болды ,жошы ұлысы 
ақ орда ханды орнын басқа ханды ,әбілхайыр хандығы
ақ орда ханы темір мәлік пен тоқта арасы 1377 жылы шайқа өткен жер ,сауран 
ақ орда ыдыра орнын әбілхайыр ханды құрыл ,xv ғ басы
ақ орда әбілхайыр ханды моғол түрік тайпа басшы атауы ,әмір
ақ ордада барақ хан билік құрға жылда ,1423 1428 жж 
ақ ордада қалал мәден дами түсуі ,ерзен хан кезінде
ақ ордада оғлан атағы кім ие болды ,ұлыс билеушілері
ақ ордада моғол ханды өкімет әскер қызмет беріл атау ," бек "
ақ орданы ақсақ темір баскыншылық әрекет қорға негіз ауыртпалы ,орыс ханға түсті
ақ орданы әлсіре ,ақсақ темір жорықтары
ақ орданы әлсіре жағдай ,ақсақ темір жорықтары 
ақ орданы әлсіре қандай жағдай болды ,ақсақ темір жорықтары 
ақ орданы алтын ордада біржола бөлін баста уақыт ,xіv ғ іі ширегі
ақ орданы астан ,сығанақ 
ақ орданы аумағ жошының осы балал иелігі қамты ,орда ежен мен шайбани ханның
ақ орданы аумағ ,жайық өзенінен батыс сібір ойпатына дейінгі сырдарияның орта және төменгі ағысы
ақ орданы аумағ қамты жерле ,орда ежен мен шайбан аудандарының жері 
ақ орданы билеу болған тоқта әкесі ,түй қожа
ақ орданы билеу ұрыс ханны ұрпағы ,жәнібек хан
ақ орданы билігі өз қолын алып мемлек күш қуаты нығай ,ұрус хан 
ақ орданы бірін ханы кім болды ,ерзен хан 
ақ орданы күш қуаты нығай хан ,ұрыс хан
ақ орданы құлау нәтиже қазақ далал аймағы ,әбілқайыр мемлекеті құрылды 
ақ орданы негіз қалаға ,орда ежен
ақ орданы орнын келген мемлек ,әбілқайыр хандығы 
ақ орданы орнын келген ханды ,әбілқайыр 
ақ орданы орталы сығана қаласы маңын орнал кесене ,көккесене
ақ орданы орталы сығана орнал жер ,сырдың орта ағысы
ақ орданы орталы сығана орнал жер ,сырдың орта ағысы
ақ орданы саяси орталы болған қала ,сығанақ
ақ орданы саяси орталы оңтүс ауысып оның астан ,сығанақ болды
ақ орданы саяси тарих бірін кезең ,алтын орда билігінен бөліну үшін күресі
ақ орданы соңғы ханы ,барақ 
ақ орданы тұрғы атауы ," өзбек қазақ өзбек "
ақ орданы шаңыра көтер хан ,орда ежен 
ақ орданы ыдыра уақыт ,xv ғасырдың 20 жылдарында
ақ орданы ыдыра нәтиже қандай мемлек пайда болды ,ноғай ордасы мен әбілқайыр хандығы 
ақ орданы ыдыра нәтиже пайда болды ,ноғай ордасы мен әбілхайыр хандығы
ақ сиса әнінің автор ,жаяу мұса
ақан сері қорамсаұлы ашу ызаға үміт сезім толы өлеңі ," құлагер "
ақан серінің әндері ," маңмаңкер сырымбет балқадиша "
ақбешім қаласы батыс түрік қаған көне астан ,суяб 
ақбешім қалал табыл ,будда ғибадатханалары
ақиқат сыйы еңбегі автор ,ахмет иугнеки
ақмол қаласы астан атауы беріл ,1998 ж 
ақмол округ құрыл мерзім ,1832 жылы 
ақмол уезді съезі алашорда автономия теріс шығар қаулы ,1918ж наурыз 
ақмол семей облыс оқу орынд бағын ,батыс сібір округіне
ақмол семей жетіс орал торғай облыс басқа туралы ереже ,1891ж бекітілді 
ақмол семей жетіс орал торғай облыс басқа туралы ереже бекіт ,1891ж 25 наурыз
ақмол отаны опасыздық жасағ әйелд арнал лагер алжир төмен мемлек қайраткер әйелд азап шекті ,с сейфуллинніңс қожановтың т жүргеновтың т рысқұловтың 
ақмол отаны опасыздық жасағ әйелд арнал лагер алжир төмен қай мемлек қайраткер әйелі мен қызы азап шекті ,т рысқұловтың 
ақорда мен моғол одағы бағыт ,темір мемлекетіне 
ақпан буржуазия демократ револ барыс орнаған қос өкімет енді ," уақытша үкімет және жұмысшы шаруа солдат депутаттарының кеңесі "
ақпан буржуазия демократ револ жеңіс жетті ,1917 жылы
ақпан буржуазия демократ револ кейін түркі аймақ қазақ қырғы комит төраға болып сайла ,м шоқай 
ақпан револ кейін жас қазақ ұйымы жұмыс істеді ,ақмолада
ақпан револ ұлт саясат маңыз қорыт ,геноцид саясатын тежеді
ақпан револ ұлт саясат ұстан ,бостандықтытеңдікті қолдайтынын мәлімдеу
ақсақ құлан жошы хан күйін автор ,найман кетбұға 
ақсақ темір ақ орданы жеңген кейін жорық бағыт қайда бұрды ,моғолстанға 
ақсақ темір әлемд жаула импер құрғысы келді бірақ солтүс пен батыс темір жаула алу жоспар алтын орда кедерг келтір оларға шабуыл жасама тұрып темір мауреннахр көрші жатқан мемлек шабуыл жасады ол қай мемлек еді ,ақ орда және моғолстан 
ақсақ темір мемлек астан ,самарқаңд
ақсақ темір мемлек астан болған орта азия қаласы ,самарқанд 
ақсақ темір орта азияда билік құрды ,1370 1405 жылы
ақсақ темір орта азияда қай жылда билік құрды ,1370 1405 ж ж 
ақсүйе 9 өкілі хан көтер уезде ,ырғыз торғай ақсүйектерінің хуралында 
ақтабан шұбырынды кезін орта жүз рулар бір бөлігі ығысқан өңір ,самарқанға 
ақтабан шұбырынды алқакөл сұлама аталған жыл ,1723
ақтабан шұбырынды алқакөл сұлама баста жыл ,1723
ақтабан шұбырынды сұлама жылда қазақ жерін басқыншы жасағ жоңғар қонтайшы ,цеван рабтан
ақтабан шұбырынды жылда жоңғар ығысқан орта жүзді бірқатар рулар ойысты ,самарқанға
ақтабан шұбырынды жылда кайғы қасірет туған ән ," елім ай "
ақтабан шұбырынды жылда қазақ жерін шабуыл жасағ ," цебан рабдан"
ақтабан шұбырынды жылда қазақ халқы әні қалды ," елім ай "
ақтабан шұбырынды жылда 1723 1727 халық әкелген қасірет ,моңғол шапқыншылығына теңестірді 
ақтабан шұбырынды кезін 1726 жылы әбілқайыр импер құрам кіру жөнінде ұсыны ресей импер жағын ,жауапсыз қалды
ақтабан шұбырынды кезін жоңғар жаула қазақ жерле ,батысындағы алыс аймағы
ақтабан шұбырынды орта жүз рулар бір бөлігі ығысқан өңір ,самарқанға
ақтабан шүбырынды алқакөл сүлама жылда қазақ жерін басқыншы жасағ жоңғар қонтайшы ,цеван рабдан
ақтамберді жырау шығар арнады ,қаракерей қабанбай қанжығалы бөгенбай батырларға
ақтөбе қала жұрты қазға табыл кірпіш таңба ,християндық крест
ақтөбе округ тексер қазақ орталы атқар комит байла кәмпескелеу жөнінде орталы комисс мүшес ,і құрамысов 
ақтөбе құрыл 74 жеке теңіз бригада негіз ұйымд 292 атқыштар дивизия шайқа ,жапондарға қарсы 
ақша реформа жүргіз ,1947 жылы
ақша реформа қабыл жыл ,1947 
ақшал салық енгіз ,1924 ж 
ақшал бірлі шыға баста ,күміс дирхемдер 
ақын сайыс ,айтыс 
